model_id,question_id,live_status,live_error,post_status,post_error
gemini-3.1-pro-preview,p006,complete,,complete,
gemini-3.1-pro-preview,p014,complete,,complete,
gemini-3.1-pro-preview,p026,complete,,complete,
gemini-3.1-pro-preview,p031,complete,,complete,
gemini-3.1-pro-preview,p043,complete,,complete,
gemini-3.1-pro-preview,p051,complete,,complete,
gemini-3.1-pro-preview,p069,complete,,complete,
gemini-3.1-pro-preview,p076,complete,,complete,
gemini-3.1-pro-preview,p085,complete,,complete,
gemini-3.1-pro-preview,p093,complete,,complete,
gpt-5.5,p006,complete,,complete,
gpt-5.5,p014,complete,,complete,
gpt-5.5,p026,complete,,complete,
gpt-5.5,p031,complete,,complete,
gpt-5.5,p043,complete,,complete,
gpt-5.5,p051,complete,,complete,
gpt-5.5,p069,complete,,complete,
gpt-5.5,p076,complete,,complete,
gpt-5.5,p085,complete,,complete,
gpt-5.5,p093,complete,,complete,
