item_id,model_id,question_id,arm
00361d5b9947e906,gpt-5.5,p001,random
79e353468dfa1d25,gpt-5.5,p001,baseline
37fa6c3ea5e737bc,gpt-5.5,p001,guided
32d2043b3bed63d0,gpt-5.5,p002,random
8ba7d674e1ce9677,gpt-5.5,p002,baseline
f93b7bf4f06adb97,gpt-5.5,p002,guided
9715fa9fc4fe173a,gpt-5.5,p003,baseline
9de900ae12aadf48,gpt-5.5,p003,guided
b5bd0fe00a42e98a,gpt-5.5,p003,random
eace8b2c37ebc4ae,gpt-5.5,p004,baseline
9b43f29f89ec77c2,gpt-5.5,p004,guided
ee0d0af10e060b6f,gpt-5.5,p004,random
08f289beb90df73f,gpt-5.5,p012,baseline
1b6fb3b4b10bb377,gpt-5.5,p012,guided
39f98f0eb22344b4,gpt-5.5,p012,random
64f6ab979c6aced8,gpt-5.5,p013,baseline
48289adbaa07c49c,gpt-5.5,p013,random
a957e97a10f0c6af,gpt-5.5,p013,guided
43a59a76a629f1f5,gpt-5.5,p015,random
3d2cf4f23e39009d,gpt-5.5,p015,guided
1cc77fada7651e1c,gpt-5.5,p015,baseline
9d2effc78de3d57f,gpt-5.5,p018,baseline
1bd8a699feb8543d,gpt-5.5,p018,guided
0ed4fca77ca27624,gpt-5.5,p018,random
abdc3968583857a2,gpt-5.5,p021,baseline
5a3a497de58fe52f,gpt-5.5,p021,guided
48defd91e0bac991,gpt-5.5,p021,random
afc840dda42aca63,gpt-5.5,p025,guided
1b4b9b5d0bca39e9,gpt-5.5,p025,random
91e5b8813d8140d6,gpt-5.5,p025,baseline
1688f2279d91937f,gpt-5.5,p027,guided
a8db50ca4a81d77c,gpt-5.5,p027,baseline
a7f10a8521516984,gpt-5.5,p027,random
74359edef51ce4f4,gpt-5.5,p029,guided
54466714b95e633a,gpt-5.5,p029,random
93f488a022f0c37f,gpt-5.5,p029,baseline
1c21c6886c76c1b8,gpt-5.5,p033,random
821909c457ccb510,gpt-5.5,p033,guided
0fa658e4d1070570,gpt-5.5,p033,baseline
7b9062fcff8e4471,gpt-5.5,p034,baseline
f182b5e44a644373,gpt-5.5,p034,guided
a5053292eff7fb8b,gpt-5.5,p034,random
2b53673f0d5d8408,gpt-5.5,p035,random
d1f96b61ecc91439,gpt-5.5,p035,baseline
3779a80ca077002a,gpt-5.5,p035,guided
52576370f63bbfc1,gpt-5.5,p040,guided
02a53a92a2ad7e28,gpt-5.5,p040,random
df16d60bdb89514b,gpt-5.5,p040,baseline
e378a47f8a5f4525,gpt-5.5,p042,baseline
6ca426ffdacf39b7,gpt-5.5,p042,random
f81fa8551b43e154,gpt-5.5,p042,guided
242c13637f1d4033,gpt-5.5,p044,baseline
5585e99f9b4a8f44,gpt-5.5,p044,guided
5b3f1f03e7e7eb07,gpt-5.5,p044,random
ce03b1dbc2d85378,gpt-5.5,p045,baseline
281f08d69aaa2cbe,gpt-5.5,p045,random
211c256723ec6f4d,gpt-5.5,p045,guided
9deb9ac2916dea4b,gpt-5.5,p046,guided
391ac99309640f96,gpt-5.5,p046,baseline
d652c5613d0cd12b,gpt-5.5,p046,random
c8998b0ce9115053,gpt-5.5,p052,guided
9e0fafa6487cb9a6,gpt-5.5,p052,random
ab9d626274922697,gpt-5.5,p052,baseline
d3ad5b492bb8482a,gpt-5.5,p054,random
8965806bb53e8dc3,gpt-5.5,p054,baseline
78f3d84d275c99b4,gpt-5.5,p054,guided
7f613347d129a80f,gpt-5.5,p056,baseline
fbdff4b7b5a20fc9,gpt-5.5,p056,guided
f656271d62d64afc,gpt-5.5,p056,random
ef8dd93ec5587b8a,gpt-5.5,p060,baseline
53639e9bf4e0acc4,gpt-5.5,p060,random
47a81867e2ac32e8,gpt-5.5,p060,guided
2c4dbdb1c2226f41,gpt-5.5,p065,random
75949a122b35c04e,gpt-5.5,p065,baseline
392d256d9d57b63e,gpt-5.5,p065,guided
f7aea1ff025195b8,gpt-5.5,p066,baseline
9ec2277761b83b0f,gpt-5.5,p066,random
55f69910788f6ca3,gpt-5.5,p066,guided
caf1b5d2d9fcfadd,gpt-5.5,p068,guided
93ab599314ce2f95,gpt-5.5,p068,random
57fa81188a61dd9e,gpt-5.5,p068,baseline
1d4b17cf5c75ae25,gpt-5.5,p070,guided
863395a0cb90c932,gpt-5.5,p070,random
a799c7face5bfd3b,gpt-5.5,p070,baseline
6abb5c8d6d4d4695,gpt-5.5,p071,random
0a0a0d3820efa32a,gpt-5.5,p071,guided
cc72b6a0101e5b0b,gpt-5.5,p071,baseline
29606bdb31dc0f11,gpt-5.5,p072,baseline
87ea5d2cf7c1be4e,gpt-5.5,p072,guided
d8f87f9b0f38d657,gpt-5.5,p072,random
7271c80eaf437c7c,gpt-5.5,p073,random
39a43db5e9f1f757,gpt-5.5,p073,guided
cbc51cbfc1a926b3,gpt-5.5,p073,baseline
609e7533bf5d55e1,gpt-5.5,p077,random
d4bd60a28643ac81,gpt-5.5,p077,baseline
8c910f34f9e00b6c,gpt-5.5,p077,guided
b06b729da86b0243,gpt-5.5,p081,random
16cb15cd06859b61,gpt-5.5,p081,baseline
a05c452516218f4e,gpt-5.5,p081,guided
a4b837363aebd5e7,gpt-5.5,p082,random
86f321b484ad1662,gpt-5.5,p082,guided
d9b5bd245e1d5589,gpt-5.5,p082,baseline
ff721b0b6dff028f,gpt-5.5,p084,baseline
93e25adf977d79dd,gpt-5.5,p084,random
9e39b0b3d2841500,gpt-5.5,p084,guided
1096873cafeca341,gpt-5.5,p086,baseline
d220120ebfb4756e,gpt-5.5,p086,guided
5ebcc6b42e9069d2,gpt-5.5,p086,random
d0c88ece3785f7c0,gpt-5.5,p092,random
0ba93dd7817a7406,gpt-5.5,p092,baseline
f49b4e42be8318ce,gpt-5.5,p092,guided
f1993cf97ad3a670,gpt-5.5,p095,guided
4a9a2ef80dc1af56,gpt-5.5,p095,random
23d48cd97d96334c,gpt-5.5,p095,baseline
186897044f655a6e,gpt-5.5,p096,baseline
51bd7ee945595c7f,gpt-5.5,p096,guided
8c617358146e3f0a,gpt-5.5,p096,random
ed030e964c851d20,gpt-5.5,p099,baseline
b40eaf59d6169e44,gpt-5.5,p099,guided
5c1ae95569a734d8,gpt-5.5,p099,random
3a77f29c90e87f18,gpt-5.5,ru01,baseline
3281febd23c0648f,gpt-5.5,ru01,guided
3a9ed73a52ae41d5,gpt-5.5,ru01,random
5beed1d9af539695,gpt-5.5,ru02,random
21f511bd6f2e71f8,gpt-5.5,ru02,baseline
b2b5493799d4e2dd,gpt-5.5,ru02,guided
79b2974cce155888,gpt-5.5,ru03,random
06103a2a2670acc1,gpt-5.5,ru03,baseline
d2b96099c3f73448,gpt-5.5,ru03,guided
1ac04c881fe4f932,gpt-5.5,ru04,guided
edc8e538edc0cde8,gpt-5.5,ru04,baseline
9a19948e03e0a58d,gpt-5.5,ru04,random
144203b11b460a39,gpt-5.5,ru05,baseline
cc59653ef708d0a9,gpt-5.5,ru05,guided
86720f7bc39dbaac,gpt-5.5,ru05,random
6bed37625790a5cd,gpt-5.5,ru06,random
31269174f2663635,gpt-5.5,ru06,guided
66ba637128873ec5,gpt-5.5,ru06,baseline
178411f5d2841cb5,gpt-5.5,ru07,guided
63110d28b334b45a,gpt-5.5,ru07,random
93bb30f1812cf9ef,gpt-5.5,ru07,baseline
64294161c90dce86,gpt-5.5,ru08,baseline
3c749550333bdd6d,gpt-5.5,ru08,random
ab1260c0f6a533cd,gpt-5.5,ru08,guided
904846adec17e2d0,gpt-5.5,ru09,random
4362a9b2df4fa43a,gpt-5.5,ru09,guided
7d1a7a43ba0bae8c,gpt-5.5,ru09,baseline
3d3301362ef1913e,gpt-5.5,ru10,random
9abe0475c671c09e,gpt-5.5,ru10,guided
a11b72b9d518e325,gpt-5.5,ru10,baseline
e54c544aea782144,gemini-3.1-pro-preview,p001,baseline
e2d6688d335ee1d6,gemini-3.1-pro-preview,p001,random
12d2ea6830723bc0,gemini-3.1-pro-preview,p001,guided
c7863dbb88d1e826,gemini-3.1-pro-preview,p002,guided
15473af267ba4142,gemini-3.1-pro-preview,p002,random
803b89260a99168d,gemini-3.1-pro-preview,p002,baseline
baf1cc1b69eeceda,gemini-3.1-pro-preview,p003,guided
78cf987525b67c59,gemini-3.1-pro-preview,p003,baseline
6753011de7575ca2,gemini-3.1-pro-preview,p003,random
5b0c41811a927d35,gemini-3.1-pro-preview,p004,baseline
0483341579eba290,gemini-3.1-pro-preview,p004,random
318182b7fe4c6ca5,gemini-3.1-pro-preview,p004,guided
