pair_id,model_id,question_id,arm_A,arm_B,guided_target_live_score,random_target_live_score,pre_treatment_target_score_gap
168c01e5e58b0bbd,gpt-5.5,ru05,random,guided,34,20,14.0
b7ea5899aa748fb2,gpt-5.5,ru02,random,guided,27,19,8.0
32621b801e1ea79b,gpt-5.5,ru04,guided,random,35,27,8.0
30f1e42df26b120d,gpt-5.5,ru06,guided,random,22,15,7.0
3fd6e3c289802727,gpt-5.5,ru10,random,guided,31,24,7.0
14f5eb0935f98b70,gemini-3.1-pro-preview,ru02,guided,random,35,10,25.0
a4a28cf1577f4a5a,gemini-3.1-pro-preview,ru07,guided,random,25,5,20.0
b945dcd069be1621,gemini-3.1-pro-preview,ru09,guided,random,30,10,20.0
aaf0c8eb3f1a4ef4,gemini-3.1-pro-preview,ru05,guided,random,20,5,15.0
5f2118af8d8c1299,gemini-3.1-pro-preview,ru03,guided,random,30,20,10.0
