model_id,question_id,family,condition,sentence_index,score
gemini-3.1-pro-preview,p006,history,live,0,5
gemini-3.1-pro-preview,p006,history,post,0,10
gemini-3.1-pro-preview,p006,history,replay,0,10
gemini-3.1-pro-preview,p006,history,live,1,10
gemini-3.1-pro-preview,p006,history,post,1,25
gemini-3.1-pro-preview,p006,history,replay,1,15
gemini-3.1-pro-preview,p006,history,live,2,5
gemini-3.1-pro-preview,p006,history,post,2,5
gemini-3.1-pro-preview,p006,history,replay,2,5
gemini-3.1-pro-preview,p006,history,live,3,15
gemini-3.1-pro-preview,p006,history,post,3,40
gemini-3.1-pro-preview,p006,history,replay,3,35
gemini-3.1-pro-preview,p006,history,live,4,10
gemini-3.1-pro-preview,p006,history,post,4,50
gemini-3.1-pro-preview,p006,history,replay,4,20
gemini-3.1-pro-preview,p014,science,live,0,5
gemini-3.1-pro-preview,p014,science,post,0,10
gemini-3.1-pro-preview,p014,science,replay,0,5
gemini-3.1-pro-preview,p014,science,live,1,20
gemini-3.1-pro-preview,p014,science,post,1,30
gemini-3.1-pro-preview,p014,science,replay,1,15
gemini-3.1-pro-preview,p014,science,live,2,15
gemini-3.1-pro-preview,p014,science,post,2,20
gemini-3.1-pro-preview,p014,science,replay,2,10
gemini-3.1-pro-preview,p014,science,live,3,35
gemini-3.1-pro-preview,p014,science,post,3,25
gemini-3.1-pro-preview,p014,science,replay,3,12
gemini-3.1-pro-preview,p014,science,live,4,10
gemini-3.1-pro-preview,p014,science,post,4,45
gemini-3.1-pro-preview,p014,science,replay,4,10
gemini-3.1-pro-preview,p014,science,live,5,5
gemini-3.1-pro-preview,p014,science,post,5,10
gemini-3.1-pro-preview,p014,science,replay,5,5
gemini-3.1-pro-preview,p026,biology_medicine,live,0,5
gemini-3.1-pro-preview,p026,biology_medicine,post,0,5
gemini-3.1-pro-preview,p026,biology_medicine,replay,0,5
gemini-3.1-pro-preview,p026,biology_medicine,live,1,5
gemini-3.1-pro-preview,p026,biology_medicine,post,1,5
gemini-3.1-pro-preview,p026,biology_medicine,replay,1,5
gemini-3.1-pro-preview,p026,biology_medicine,live,2,15
gemini-3.1-pro-preview,p026,biology_medicine,post,2,10
gemini-3.1-pro-preview,p026,biology_medicine,replay,2,10
gemini-3.1-pro-preview,p026,biology_medicine,live,3,20
gemini-3.1-pro-preview,p026,biology_medicine,post,3,10
gemini-3.1-pro-preview,p026,biology_medicine,replay,3,15
gemini-3.1-pro-preview,p026,biology_medicine,live,4,10
gemini-3.1-pro-preview,p026,biology_medicine,post,4,15
gemini-3.1-pro-preview,p026,biology_medicine,replay,4,5
gemini-3.1-pro-preview,p026,biology_medicine,live,5,5
gemini-3.1-pro-preview,p026,biology_medicine,post,5,20
gemini-3.1-pro-preview,p026,biology_medicine,replay,5,5
gemini-3.1-pro-preview,p031,technology,live,0,5
gemini-3.1-pro-preview,p031,technology,post,0,15
gemini-3.1-pro-preview,p031,technology,replay,0,5
gemini-3.1-pro-preview,p031,technology,live,1,10
gemini-3.1-pro-preview,p031,technology,post,1,20
gemini-3.1-pro-preview,p031,technology,replay,1,8
gemini-3.1-pro-preview,p031,technology,live,2,15
gemini-3.1-pro-preview,p031,technology,post,2,45
gemini-3.1-pro-preview,p031,technology,replay,2,15
gemini-3.1-pro-preview,p031,technology,live,3,12
gemini-3.1-pro-preview,p031,technology,post,3,30
gemini-3.1-pro-preview,p031,technology,replay,3,12
gemini-3.1-pro-preview,p031,technology,live,4,8
gemini-3.1-pro-preview,p031,technology,post,4,65
gemini-3.1-pro-preview,p031,technology,replay,4,10
gemini-3.1-pro-preview,p031,technology,live,5,10
gemini-3.1-pro-preview,p031,technology,post,5,40
gemini-3.1-pro-preview,p031,technology,replay,5,7
gemini-3.1-pro-preview,p043,economics,live,0,5
gemini-3.1-pro-preview,p043,economics,post,0,10
gemini-3.1-pro-preview,p043,economics,replay,0,10
gemini-3.1-pro-preview,p043,economics,live,1,10
gemini-3.1-pro-preview,p043,economics,post,1,20
gemini-3.1-pro-preview,p043,economics,replay,1,15
gemini-3.1-pro-preview,p043,economics,live,2,5
gemini-3.1-pro-preview,p043,economics,post,2,15
gemini-3.1-pro-preview,p043,economics,replay,2,12
gemini-3.1-pro-preview,p043,economics,live,3,5
gemini-3.1-pro-preview,p043,economics,post,3,5
gemini-3.1-pro-preview,p043,economics,replay,3,8
gemini-3.1-pro-preview,p043,economics,live,4,15
gemini-3.1-pro-preview,p043,economics,post,4,30
gemini-3.1-pro-preview,p043,economics,replay,4,15
