model_id,variant_id,question_id,family,condition,sentence_index,raw_score,normalized_ai_risk
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,live,0,5,5
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,live,1,10,10
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,live,2,8,8
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,live,3,4,4
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,live,4,12,12
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,live,5,6,6
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,live,6,7,7
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,post,0,12,12
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,post,1,15,15
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,post,2,18,18
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,post,3,20,20
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,post,4,25,25
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,post,5,10,10
gemini-3.1-pro-preview,minimal,x01_friend_cancel,informal_message,post,6,15,15
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,live,0,12,12
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,live,1,8,8
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,live,2,15,15
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,live,3,20,20
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,live,4,14,14
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,live,5,5,5
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,live,6,11,11
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,post,0,10,10
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,post,1,15,15
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,post,2,25,25
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,post,3,45,45
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,post,4,15,15
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,post,5,10,10
gemini-3.1-pro-preview,minimal,x02_team_delay,workplace_message,post,6,5,5
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,live,0,12,12
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,live,1,15,15
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,live,2,18,18
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,live,3,8,8
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,live,4,14,14
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,live,5,10,10
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,live,6,16,16
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,post,0,45,45
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,post,1,10,10
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,post,2,25,25
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,post,3,15,15
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,post,4,20,20
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,post,5,10,10
gemini-3.1-pro-preview,minimal,x03_landlord_update,practical_message,post,6,30,30
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,live,0,10,10
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,live,1,15,15
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,live,2,12,12
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,live,3,8,8
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,live,4,14,14
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,live,5,11,11
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,live,6,18,18
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,post,0,12,12
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,post,1,15,15
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,post,2,8,8
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,post,3,5,5
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,post,4,10,10
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,post,5,14,14
gemini-3.1-pro-preview,minimal,x04_old_photo,personal_social_post,post,6,22,22
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,live,0,12,12
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,live,1,15,15
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,live,2,8,8
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,live,3,10,10
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,live,4,5,5
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,live,5,22,22
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,live,6,4,4
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,live,7,18,18
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,post,0,12,12
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,post,1,18,18
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,post,2,15,15
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,post,3,20,20
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,post,4,5,5
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,post,5,30,30
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,post,6,10,10
gemini-3.1-pro-preview,minimal,x05_headphones,product_experience,post,7,25,25
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,live,0,15,15
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,live,1,10,10
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,live,2,12,12
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,live,3,8,8
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,live,4,10,10
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,live,5,14,14
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,live,6,18,18
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,post,0,42,42
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,post,1,18,18
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,post,2,23,23
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,post,3,35,35
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,post,4,27,27
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,post,5,14,14
gemini-3.1-pro-preview,minimal,x06_meal_delivery,service_experience,post,6,76,76
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,live,0,12,12
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,live,1,8,8
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,live,2,15,15
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,live,3,10,10
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,live,4,5,5
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,live,5,12,12
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,live,6,8,8
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,live,7,18,18
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,post,0,10,10
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,post,1,15,15
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,post,2,12,12
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,post,3,10,10
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,post,4,8,8
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,post,5,5,5
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,post,6,10,10
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,workplace_message,post,7,20,20
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,live,0,12,12
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,live,1,5,5
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,live,2,15,15
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,live,3,8,8
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,live,4,10,10
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,live,5,4,4
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,live,6,9,9
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,post,0,12,12
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,post,1,10,10
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,post,2,15,15
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,post,3,10,10
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,post,4,14,14
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,post,5,11,11
gemini-3.1-pro-preview,minimal,x08_weekend_change,informal_message,post,6,10,10
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,live,0,10,10
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,live,1,15,15
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,live,2,12,12
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,live,3,18,18
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,live,4,14,14
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,live,5,15,15
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,live,6,12,12
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,post,0,12,12
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,post,1,18,18
gemini-3.1-pro-preview,minimal,x09_bookstore,recommendation_post,post,2,10,10
