model_id,question_id,sentence_index,score,source,status,error
gemini-3.1-pro-preview,p001,0,15,baseline_replay,complete,
gemini-3.1-pro-preview,p001,1,35,baseline_replay,complete,
gemini-3.1-pro-preview,p001,2,25,baseline_replay,complete,
gemini-3.1-pro-preview,p001,3,30,baseline_replay,complete,
gemini-3.1-pro-preview,p001,4,45,baseline_replay,complete,
gemini-3.1-pro-preview,p001,5,30,baseline_replay,complete,
gemini-3.1-pro-preview,p002,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p002,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p002,2,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p002,3,18,v5.6_extension,complete,
gemini-3.1-pro-preview,p002,4,14,v5.6_extension,complete,
gemini-3.1-pro-preview,p002,5,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p002,6,35,v5.6_extension,complete,
gemini-3.1-pro-preview,p003,0,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p003,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p003,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p003,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p003,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p003,5,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p003,6,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p004,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p004,1,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p004,2,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p004,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p004,4,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p004,5,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p012,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p012,1,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p012,2,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p012,3,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p012,4,5,v5.6_extension,complete,
gemini-3.1-pro-preview,p012,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p013,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p013,1,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p013,2,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p013,3,12,v5.6_extension,complete,
gemini-3.1-pro-preview,p013,4,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p013,5,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p015,0,20,v5.6_extension,complete,
gemini-3.1-pro-preview,p015,1,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p015,2,30,v5.6_extension,complete,
gemini-3.1-pro-preview,p015,3,15,v5.6_extension,complete,
gemini-3.1-pro-preview,p015,4,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p015,5,35,v5.6_extension,complete,
gemini-3.1-pro-preview,p015,6,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p018,0,10,v5.6_extension,complete,
gemini-3.1-pro-preview,p018,1,35,v5.6_extension,complete,
gemini-3.1-pro-preview,p018,2,45,v5.6_extension,complete,
gemini-3.1-pro-preview,p018,3,30,v5.6_extension,complete,
gemini-3.1-pro-preview,p018,4,25,v5.6_extension,complete,
gemini-3.1-pro-preview,p018,5,40,v5.6_extension,complete,
gemini-3.1-pro-preview,p018,6,20,v5.6_extension,complete,
