model_id,question_id,baseline_post_mean,guided_corrected_post_mean,random_corrected_post_mean,guided_change_vs_baseline,random_change_vs_baseline,guided_advantage_random_minus_guided,guided_target_index,guided_target_live_score,random_target_index,random_target_live_score
gpt-5.5,p001,29.833333333333332,28.833333333333332,33.833333333333336,-1.0,4.0000000000000036,5.0000000000000036,2,31,3,24
gpt-5.5,p002,41.666666666666664,50.0,50.0,8.333333333333336,8.333333333333336,0.0,4,24,2,18
gpt-5.5,p003,26.166666666666668,25.5,26.666666666666668,-0.6666666666666679,0.5,1.1666666666666679,3,27,0,18
gpt-5.5,p004,39.0,35.0,30.0,-4.0,-9.0,-5.0,3,31,5,20
gpt-5.5,p012,17.166666666666668,19.666666666666668,19.0,2.5,1.8333333333333321,-0.6666666666666679,3,26,1,18
gpt-5.5,p013,11.666666666666666,16.0,11.833333333333334,4.333333333333334,0.16666666666666785,-4.166666666666666,5,24,1,18
gpt-5.5,p015,15.0,19.666666666666668,21.166666666666668,4.666666666666668,6.166666666666668,1.5,1,32,2,21
gpt-5.5,p018,30.0,29.166666666666668,23.333333333333332,-0.8333333333333321,-6.666666666666668,-5.833333333333336,3,36,4,31
gpt-5.5,p021,14.666666666666666,14.833333333333334,20.666666666666668,0.16666666666666785,6.000000000000002,5.833333333333334,1,18,3,13
gpt-5.5,p025,23.0,17.5,21.5,-5.5,-1.5,4.0,2,31,3,24
gpt-5.5,p027,23.333333333333332,24.166666666666668,22.833333333333332,0.8333333333333357,-0.5,-1.3333333333333357,4,35,2,24
gpt-5.5,p029,22.0,21.333333333333332,22.5,-0.6666666666666679,0.5,1.1666666666666679,2,28,3,16
gpt-5.5,p033,14.5,12.333333333333334,13.166666666666666,-2.166666666666666,-1.333333333333334,0.8333333333333321,4,20,0,12
gpt-5.5,p034,22.0,23.333333333333332,20.666666666666668,1.3333333333333321,-1.3333333333333321,-2.6666666666666643,2,28,5,20
gpt-5.5,p035,13.166666666666666,15.833333333333334,14.333333333333334,2.666666666666668,1.1666666666666679,-1.5,3,23,0,12
gpt-5.5,p040,19.5,18.166666666666668,19.166666666666668,-1.3333333333333321,-0.33333333333333215,1.0,4,22,2,10
gpt-5.5,p042,21.333333333333332,19.166666666666668,12.833333333333334,-2.1666666666666643,-8.499999999999998,-6.333333333333334,2,15,1,10
