model_id,question_id,family,sentence_index,live_score,post_score,replay_score
gemini-3.1-pro-preview,p006,history,0,10,10,10
gemini-3.1-pro-preview,p006,history,1,15,15,5
gemini-3.1-pro-preview,p006,history,2,5,10,5
gemini-3.1-pro-preview,p006,history,3,30,65,25
gemini-3.1-pro-preview,p006,history,4,20,45,15
gemini-3.1-pro-preview,p006,history,5,10,55,10
gemini-3.1-pro-preview,p014,science,0,10,30,5
gemini-3.1-pro-preview,p014,science,1,5,40,8
gemini-3.1-pro-preview,p014,science,2,15,20,12
gemini-3.1-pro-preview,p014,science,3,25,15,15
gemini-3.1-pro-preview,p014,science,4,20,25,20
gemini-3.1-pro-preview,p014,science,5,15,80,15
gemini-3.1-pro-preview,p026,biology_medicine,0,5,10,5
gemini-3.1-pro-preview,p026,biology_medicine,1,10,5,5
gemini-3.1-pro-preview,p026,biology_medicine,2,15,15,10
gemini-3.1-pro-preview,p026,biology_medicine,3,20,20,15
gemini-3.1-pro-preview,p026,biology_medicine,4,15,15,15
gemini-3.1-pro-preview,p026,biology_medicine,5,10,10,5
gemini-3.1-pro-preview,p026,biology_medicine,6,5,10,5
gemini-3.1-pro-preview,p031,technology,0,5,10,5
gemini-3.1-pro-preview,p031,technology,1,10,15,8
gemini-3.1-pro-preview,p031,technology,2,15,40,20
gemini-3.1-pro-preview,p031,technology,3,5,10,12
gemini-3.1-pro-preview,p031,technology,4,10,25,10
gemini-3.1-pro-preview,p031,technology,5,5,15,15
gemini-3.1-pro-preview,p043,economics,0,10,10,5
gemini-3.1-pro-preview,p043,economics,1,15,20,10
gemini-3.1-pro-preview,p043,economics,2,5,15,5
gemini-3.1-pro-preview,p043,economics,3,30,55,25
gemini-3.1-pro-preview,p043,economics,4,10,35,10
gemini-3.1-pro-preview,p043,economics,5,5,80,5
gemini-3.1-pro-preview,p051,geography,0,15,10,5
gemini-3.1-pro-preview,p051,geography,1,10,40,10
gemini-3.1-pro-preview,p051,geography,2,20,50,15
gemini-3.1-pro-preview,p051,geography,3,5,20,10
gemini-3.1-pro-preview,p051,geography,4,15,35,15
gemini-3.1-pro-preview,p051,geography,5,10,85,10
gemini-3.1-pro-preview,p069,food_culture,0,10,30,5
gemini-3.1-pro-preview,p069,food_culture,1,30,85,45
gemini-3.1-pro-preview,p069,food_culture,2,20,45,40
gemini-3.1-pro-preview,p069,food_culture,3,25,60,55
gemini-3.1-pro-preview,p069,food_culture,4,20,65,35
gemini-3.1-pro-preview,p069,food_culture,5,15,80,25
gemini-3.1-pro-preview,p069,food_culture,6,5,95,30
gemini-3.1-pro-preview,p076,language,0,5,10,5
gemini-3.1-pro-preview,p076,language,1,15,20,10
gemini-3.1-pro-preview,p076,language,2,10,30,15
gemini-3.1-pro-preview,p076,language,3,20,70,25
gemini-3.1-pro-preview,p076,language,4,5,60,10
gemini-3.1-pro-preview,p076,language,5,30,80,15
gemini-3.1-pro-preview,p076,language,6,10,90,10
gemini-3.1-pro-preview,p085,arts_culture,0,10,15,5
gemini-3.1-pro-preview,p085,arts_culture,1,15,45,10
gemini-3.1-pro-preview,p085,arts_culture,2,5,85,10
gemini-3.1-pro-preview,p085,arts_culture,3,20,50,15
gemini-3.1-pro-preview,p085,arts_culture,4,25,60,15
