pair_id,model_id,question_id,arm_A,arm_B
805cc50e373e87b1,gpt-5.5,p001,guided,random
bf9c800609bc268a,gpt-5.5,p002,guided,random
b62073c5fb8df831,gpt-5.5,p003,random,guided
4c78ca9e5f07fe8b,gpt-5.5,p004,guided,random
1e7698c5500d543b,gpt-5.5,p012,guided,random
07cf05ae58c33912,gpt-5.5,p013,guided,random
beab16491e31ba61,gpt-5.5,p015,random,guided
0c1c7e0eb81967bf,gpt-5.5,p018,random,guided
e42657fc26c8dabc,gpt-5.5,p021,random,guided
dd58d254531760da,gpt-5.5,p025,guided,random
6a544cb9763237d1,gpt-5.5,p027,guided,random
81ea5284e57b2023,gpt-5.5,p029,guided,random
4af95c2c31fcc6c2,gpt-5.5,p033,guided,random
d0b41c166ac12254,gpt-5.5,p034,guided,random
1711da9aa91895d7,gpt-5.5,p035,guided,random
25bbeedac08e6b42,gpt-5.5,p040,guided,random
6ef5b9e40af12aa7,gpt-5.5,p042,guided,random
957fcfdad9767d8c,gpt-5.5,p044,guided,random
24d0215917b0febc,gpt-5.5,p045,guided,random
75c183a45544c79c,gpt-5.5,p046,guided,random
acf530c71d429be1,gpt-5.5,p052,random,guided
9cd602fd242d8ce2,gpt-5.5,p054,guided,random
640db17464673b8b,gpt-5.5,p056,random,guided
fb732c7811f8def6,gpt-5.5,p060,guided,random
dab4c447623a34ec,gpt-5.5,p065,random,guided
9db6c3129e43f0f6,gpt-5.5,p066,guided,random
a941c7ef07727fcd,gpt-5.5,p068,guided,random
1e8a56e4a8f44cba,gpt-5.5,p070,random,guided
633e6f74a6cb4f7f,gpt-5.5,p071,guided,random
b6b24d13a6bb79ee,gpt-5.5,p072,random,guided
a04468185012c5be,gpt-5.5,p073,guided,random
c2a11f57da9c9e5a,gpt-5.5,p077,random,guided
6da7d9476533133f,gpt-5.5,p081,random,guided
2c190b0fafd0f03c,gpt-5.5,p082,guided,random
5aac212c3410dc34,gpt-5.5,p084,guided,random
428b02385441aa5d,gpt-5.5,p086,guided,random
dc74ba5a322c1434,gpt-5.5,p092,random,guided
ef1c3207e638cf31,gpt-5.5,p095,guided,random
53c4f5f4a20fc070,gpt-5.5,p096,random,guided
2de85b1d2e059407,gpt-5.5,p099,guided,random
efabc4ee00eb14c0,gpt-5.5,ru01,random,guided
f80b276e922621c4,gpt-5.5,ru02,random,guided
97d710e1949f26b5,gpt-5.5,ru03,random,guided
681e78541c3af6e2,gpt-5.5,ru04,guided,random
599a6986550fb222,gpt-5.5,ru05,random,guided
792307b8e5cdd6b8,gpt-5.5,ru06,random,guided
e646bc0c4a655780,gpt-5.5,ru07,random,guided
afe951446b084dc6,gpt-5.5,ru08,guided,random
4bf5f78881b9205b,gpt-5.5,ru09,guided,random
7430e6e2c4eb1c1f,gpt-5.5,ru10,random,guided
22803e2a882163a0,gemini-3.1-pro-preview,p001,random,guided
40f2013f86a19a40,gemini-3.1-pro-preview,p002,random,guided
ac7c1691c0d7775e,gemini-3.1-pro-preview,p003,guided,random
97d708161200969d,gemini-3.1-pro-preview,p004,random,guided
9d567079d4ae10dd,gemini-3.1-pro-preview,p012,guided,random
45e490392c0b1f55,gemini-3.1-pro-preview,p013,random,guided
7105a487b7fde40a,gemini-3.1-pro-preview,p015,random,guided
b775c1be8d4bfe40,gemini-3.1-pro-preview,p018,random,guided
ae68ecdab9ead4d4,gemini-3.1-pro-preview,p021,guided,random
482c4ae63b7feefa,gemini-3.1-pro-preview,p025,guided,random
c0b8d15fca115d77,gemini-3.1-pro-preview,p027,random,guided
2fad5323962053fe,gemini-3.1-pro-preview,p029,random,guided
72b61eb69f7ee7be,gemini-3.1-pro-preview,p033,guided,random
4b6f5b9d99f8bb2e,gemini-3.1-pro-preview,p034,random,guided
07c437db4b3def54,gemini-3.1-pro-preview,p040,random,guided
f07f5761e8194e37,gemini-3.1-pro-preview,p042,random,guided
0ed5343610964bdd,gemini-3.1-pro-preview,p044,random,guided
9e2a77f7e493c526,gemini-3.1-pro-preview,p045,random,guided
b69beb2ff540acb7,gemini-3.1-pro-preview,p052,random,guided
db6a61fc334fde22,gemini-3.1-pro-preview,p054,guided,random
b16867c7f3d7f415,gemini-3.1-pro-preview,p056,guided,random
ed750dc5f60ffeeb,gemini-3.1-pro-preview,p060,random,guided
2c7a3cd309a00e88,gemini-3.1-pro-preview,p065,random,guided
191c53b8ec977a11,gemini-3.1-pro-preview,p066,guided,random
35c23a127476d053,gemini-3.1-pro-preview,p068,random,guided
350ee52ef708af90,gemini-3.1-pro-preview,p070,guided,random
2ed8852044b14d10,gemini-3.1-pro-preview,p071,random,guided
3621b8a079d9fcef,gemini-3.1-pro-preview,p072,guided,random
65becc2a2ea49d25,gemini-3.1-pro-preview,p073,random,guided
8754a8746b1ba7d6,gemini-3.1-pro-preview,p077,random,guided
e923ac7ef184f638,gemini-3.1-pro-preview,p081,random,guided
43a405935c43cb5c,gemini-3.1-pro-preview,p082,guided,random
3f2acab92150e0ec,gemini-3.1-pro-preview,p084,guided,random
0890c6dea0ab92b3,gemini-3.1-pro-preview,p086,random,guided
a7eabbe1bb0ea5eb,gemini-3.1-pro-preview,p095,guided,random
d2b6f66f91fd4065,gemini-3.1-pro-preview,p096,random,guided
31de774947cfdfd1,gemini-3.1-pro-preview,p099,guided,random
a42078619723c48b,gemini-3.1-pro-preview,ru02,random,guided
b2aa0c9c34192b21,gemini-3.1-pro-preview,ru03,guided,random
bcb5b20fc994f74a,gemini-3.1-pro-preview,ru04,guided,random
0e43ea04fd71137e,gemini-3.1-pro-preview,ru05,random,guided
51142e84af0501b7,gemini-3.1-pro-preview,ru06,random,guided
93b0646e8b2fc127,gemini-3.1-pro-preview,ru07,random,guided
bb3fae1d51a1a018,gemini-3.1-pro-preview,ru09,random,guided
3565852010cc0c2d,gemini-3.1-pro-preview,ru10,random,guided
