model_id,question_id,live_status,live_error,post_status,post_error
claude-opus-5,p001,complete,,complete,
claude-opus-5,p002,complete,,complete,
claude-opus-5,p003,complete,,complete,
claude-opus-5,p004,complete,,complete,
claude-opus-5,p012,complete,,complete,
claude-opus-5,p013,complete,,complete,
claude-opus-5,p015,complete,,complete,
claude-opus-5,p018,complete,,complete,
claude-opus-5,p021,complete,,complete,
claude-opus-5,p025,complete,,complete,
claude-opus-5,p027,complete,,complete,
claude-opus-5,p029,complete,,complete,
claude-opus-5,p033,complete,,complete,
claude-opus-5,p034,complete,,complete,
claude-opus-5,p035,complete,,complete,
claude-opus-5,p040,complete,,complete,
claude-opus-5,p042,complete,,complete,
claude-opus-5,p044,complete,,complete,
claude-opus-5,p045,complete,,complete,
claude-opus-5,p046,complete,,complete,
claude-opus-5,p052,complete,,complete,
claude-opus-5,p054,complete,,complete,
claude-opus-5,p056,complete,,complete,
claude-opus-5,p060,error,ValueError: live response contains no <AI SCORE: n> tags,pending,
claude-opus-5,p065,complete,,complete,
claude-opus-5,p066,complete,,complete,
claude-opus-5,p068,complete,,complete,
claude-opus-5,p070,complete,,complete,
claude-opus-5,p071,complete,,error,NonRetryableModelError: model returned empty final content (finish_reason='content_filter')
claude-opus-5,p072,error,ValueError: live response contains no <AI SCORE: n> tags,pending,
claude-opus-5,p073,complete,,complete,
claude-opus-5,p077,complete,,complete,
claude-opus-5,p081,complete,,complete,
claude-opus-5,p082,complete,,complete,
claude-opus-5,p084,complete,,complete,
claude-opus-5,p086,complete,,complete,
claude-opus-5,p092,complete,,complete,
claude-opus-5,p095,complete,,complete,
claude-opus-5,p096,complete,,complete,
claude-opus-5,p099,complete,,complete,
deepseek-v3.2,p001,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE:肆>'
deepseek-v3.2,p002,complete,,complete,
deepseek-v3.2,p003,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE: ……Let’s correct that. The correct output is the scores only. I need t'
deepseek-v3.2,p004,complete,,complete,
deepseek-v3.2,p012,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE:_evaluation>.'
deepseek-v3.2,p013,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE:小孩>'
deepseek-v3.2,p015,error,"ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE: del> When water freezes, its molecules arrange into a crystal structu'",pending,
deepseek-v3.2,p018,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE: system error: missing closing punctuation>'
deepseek-v3.2,p021,error,ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE: surveyed before: 25> It’s actually your body’s clever way of fighting',pending,
deepseek-v3.2,p025,complete,,complete,
deepseek-v3.2,p027,complete,,complete,
deepseek-v3.2,p029,complete,,complete,
deepseek-v3.2,p033,error,"ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE:,'",pending,
deepseek-v3.2,p034,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE: &gt; 15'
deepseek-v3.2,p035,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE: -1>'
deepseek-v3.2,p040,complete,,complete,
deepseek-v3.2,p042,complete,,error,"ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE: Jr. Assistant note: The assessment of this sentence is a 20, as it us'"
deepseek-v3.2,p044,complete,,complete,
deepseek-v3.2,p045,complete,,error,ValueError: post response contains malformed/unrecognized AI score tag: '<AI SCORE: -1>'
deepseek-v3.2,p046,complete,,complete,
deepseek-v3.2,p052,complete,,complete,
deepseek-v3.2,p054,complete,,complete,
deepseek-v3.2,p056,error,ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE:  ',pending,
deepseek-v3.2,p060,complete,,complete,
deepseek-v3.2,p065,complete,,complete,
deepseek-v3.2,p066,error,ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE: —>',pending,
deepseek-v3.2,p068,complete,,complete,
deepseek-v3.2,p070,error,ValueError: live response contains malformed/unrecognized AI score tag: '<AI SCORE: Thats a tricky one because the scoring instruction says to put the cl',pending,
deepseek-v3.2,p071,complete,,complete,
