model_id,variant_id,question_id,live_status,post_status,live_error,post_error
gemini-3.1-pro-preview,minimal,r01_personal_update,complete,complete,,
gemini-3.1-pro-preview,minimal,r02_parent_group,complete,complete,,
gemini-3.1-pro-preview,minimal,r03_workplace_story,complete,complete,,
gemini-3.1-pro-preview,minimal,r04_neighborhood,complete,complete,,
gemini-3.1-pro-preview,minimal,r05_product_experience,complete,complete,,
gemini-3.1-pro-preview,minimal,r06_complaint_story,complete,complete,,
gemini-3.1-pro-preview,minimal,r07_group_message,complete,complete,,
gemini-3.1-pro-preview,minimal,r08_service_recommendation,complete,complete,,
gemini-3.1-pro-preview,minimal,r09_family_trip,complete,complete,,
gemini-3.1-pro-preview,minimal,r10_travel_moment,complete,complete,,
gemini-3.1-pro-preview,minimal,r11_change_of_mind,complete,complete,,
gemini-3.1-pro-preview,minimal,r12_recommendation,complete,complete,,
gemini-3.1-pro-preview,minimal,r13_return_visit,complete,complete,,
gemini-3.1-pro-preview,minimal,r14_opinion_post,complete,complete,,
gemini-3.1-pro-preview,minimal,r15_small_event,complete,complete,,
gemini-3.1-pro-preview,minimal,r16_event_recap,complete,complete,,
gemini-3.1-pro-preview,original,r01_personal_update,complete,complete,,
gemini-3.1-pro-preview,original,r02_parent_group,complete,complete,,
gemini-3.1-pro-preview,original,r03_workplace_story,complete,complete,,
gemini-3.1-pro-preview,original,r04_neighborhood,complete,complete,,
gemini-3.1-pro-preview,original,r05_product_experience,complete,complete,,
gemini-3.1-pro-preview,original,r06_complaint_story,complete,complete,,
gemini-3.1-pro-preview,original,r07_group_message,complete,complete,,
gemini-3.1-pro-preview,original,r08_service_recommendation,complete,complete,,
gemini-3.1-pro-preview,original,r09_family_trip,complete,complete,,
gemini-3.1-pro-preview,original,r10_travel_moment,complete,complete,,
gemini-3.1-pro-preview,original,r11_change_of_mind,complete,complete,,
gemini-3.1-pro-preview,original,r12_recommendation,complete,complete,,
gemini-3.1-pro-preview,original,r13_return_visit,complete,complete,,
gemini-3.1-pro-preview,original,r14_opinion_post,complete,complete,,
gemini-3.1-pro-preview,original,r15_small_event,complete,complete,,
gemini-3.1-pro-preview,original,r16_event_recap,complete,complete,,
