cohort,model_id,variant_id,n_questions,mean_post_minus_live,shift_ci_lo,shift_ci_hi,mean_live_post_spearman
initial16,gpt-5.5,original,16,5.861607142857142,3.7440476190476195,8.001488095238095,0.6495871011661304
initial16,gpt-5.5,paraphrase,16,4.669642857142857,2.178571428571428,7.732142857142858,0.5014136634764264
initial16,gpt-5.5,reverse,16,2.46875,1.1339285714285716,4.044642857142857,0.35738234489408593
initial16,gpt-5.5,minimal,16,7.224702380952381,4.736607142857143,9.915178571428571,0.3020079230812707
initial16,gemini-3.1-pro-preview,original,16,14.325892857142858,6.553571428571429,22.99107142857143,0.5379398889103563
initial16,gemini-3.1-pro-preview,paraphrase,16,9.705729166666666,4.741071428571429,15.400669642857142,0.45927222102586895
initial16,gemini-3.1-pro-preview,reverse,16,4.972098214285714,1.7269345238095237,9.294642857142858,0.35117719254084934
initial16,gemini-3.1-pro-preview,minimal,16,17.203125,8.458705357142858,27.212053571428573,0.25070543777245374
extension24,gpt-5.5,original,24,6.557539682539683,3.735119047619048,9.869047619047619,0.6460276392217361
extension24,gpt-5.5,paraphrase,24,2.9466765873015874,0.828621031746032,5.324652777777778,0.5940800384379065
extension24,gpt-5.5,reverse,24,1.209325396825397,0.31547619047619035,2.123015873015873,0.5970705631112734
extension24,gpt-5.5,minimal,24,10.607142857142858,6.811507936507937,14.71031746031746,0.39414188944573386
extension24,gemini-3.1-pro-preview,original,24,8.93030753968254,4.904513888888888,13.45064484126984,0.5560683689657536
extension24,gemini-3.1-pro-preview,paraphrase,24,6.113095238095238,3.426339285714286,9.261904761904761,0.4393046475571847
extension24,gemini-3.1-pro-preview,reverse,24,6.241815476190475,3.4851190476190474,9.801339285714286,0.35450454257345876
extension24,gemini-3.1-pro-preview,minimal,24,13.15699404761905,7.319196428571428,20.438988095238095,0.3864045436628268
pooled40,gpt-5.5,original,40,6.279166666666667,4.385714285714285,8.479761904761904,0.6474514239994937
pooled40,gpt-5.5,paraphrase,40,3.6358630952380957,1.9291666666666665,5.454910714285715,0.5570134884533144
pooled40,gpt-5.5,reverse,40,1.7130952380952382,0.9327380952380953,2.5630952380952383,0.5011952758243984
pooled40,gpt-5.5,minimal,40,9.254166666666666,6.770833333333333,11.991666666666665,0.3572883028999486
pooled40,gemini-3.1-pro-preview,original,40,11.088541666666668,7.009672619047619,15.636160714285714,0.5488169769435947
pooled40,gemini-3.1-pro-preview,paraphrase,40,7.550148809523809,4.866666666666666,10.520535714285714,0.44729167694465843
pooled40,gemini-3.1-pro-preview,reverse,40,5.733928571428572,3.5125,8.359077380952382,0.353173602560415
pooled40,gemini-3.1-pro-preview,minimal,40,14.775446428571428,9.614732142857143,20.873660714285712,0.33212490130667754
