pair_id,text_A,text_B,more_human_A_B_or_tie
168c01e5e58b0bbd,"Удалили файл с компьютера — и кажется, что он просто исчез навсегда. На самом деле чаще всего система просто помечает место, где лежали данные, как свободное. Пока на этот участок диска не записана новая информация, файл иногда можно восстановить специальными программами. Поэтому корзина, «удалить навсегда» и даже форматирование не всегда означают мгновенное уничтожение данных. Если нужно действительно стереть что-то важное, лучше использовать специальные инструменты для безопасного удаления или шифрование диска. Об этом точно стоит помнить, если собираетесь продавать ноутбук, телефон или внешний накопитель. Так что удаление файла — это скорее снятие таблички с полки, чем немедленное сжигание самой полки.","Удалили файл с компьютера — и кажется, что он просто исчез навсегда. На самом деле чаще всего система просто помечает место, где лежали данные, как свободное. Пока на этот участок диска не записана новая информация, файл иногда можно восстановить специальными программами. Поэтому корзина, «удалить навсегда» и даже форматирование не всегда означают мгновенное уничтожение данных. Если речь о действительно важных данных, стоит воспользоваться программами для надежного стирания или заранее включить шифрование диска. Особенно это актуально перед продажей ноутбука, телефона или внешнего накопителя. Так что удаление файла — это скорее снятие таблички с полки, чем немедленное сжигание самой полки.",
b7ea5899aa748fb2,"Японская кухня чаще про чистый вкус продукта: свежая рыба, рис, соевый соус, водоросли и минимум лишнего.  
Корейская, наоборот, обычно ярче и острее: кимчи, чеснок, кунжутное масло, паста кочудян и много ферментированных вкусов.  
В Японии сразу вспоминаются суши, рамен, мисо-суп, темпура и аккуратные бенто, где всё разложено почти как маленькая композиция.  
В Корее на столе легко окажутся пибимпап, кимчиччигэ, корейское барбекю, токпокки и куча маленьких закусок панчхан, которые все пробуют вместе.  
За японским столом чаще чувствуется сдержанность: порции небольшие, вкус спокойный, а палочки не принято втыкать в рис.  
В Корее всё чаще крутится вокруг общего стола: мясо жарят тут же, блюда ставят на всех, а попросить добавку и оживлённо болтать — совершенно нормально.","Японская кухня чаще про чистый вкус продукта: свежая рыба, рис, соевый соус, водоросли и минимум лишнего.  
Корейская, наоборот, обычно ярче и острее: кимчи, чеснок, кунжутное масло, паста кочудян и много ферментированных вкусов.  
Если говорить о Японии, на ум первыми приходят суши, рамен, мисо-суп, темпура и бенто — аккуратные коробочки, где всё разложено как небольшая композиция.  
В Корее на столе легко окажутся пибимпап, кимчиччигэ, корейское барбекю, токпокки и куча маленьких закусок панчхан, которые все пробуют вместе.  
За японским столом чаще чувствуется сдержанность: порции небольшие, вкус спокойный, а палочки не принято втыкать в рис.  
В Корее еда более общая и шумная: мясо жарят прямо за столом, блюда делят на всех, а добавка и активные разговоры только приветствуются.",
32621b801e1ea79b,"Когда мы простужаемся, чаще всего виноваты вирусы, а не бактерии.  
Антибиотики работают против бактерий: они мешают им расти, размножаться или разрушать наши ткани.  
С вирусами всё по-другому: они забираются в наши клетки и размножаются за их счёт, поэтому обычные антибиотики против них бессильны.  
Если пить антибиотики при вирусной простуде “на всякий случай”, можно получить побочные эффекты и помочь бактериям стать устойчивыми к лечению.  
При большинстве ОРВИ помогают отдых, питьё, проветривание, увлажнение воздуха и средства, которые облегчают симптомы.  
А вот если температура держится долго, становится хуже или появляются необычные симптомы, лучше обратиться к врачу — иногда к вирусу может присоединиться бактериальная инфекция.","Когда мы простужаемся, чаще всего виноваты вирусы, а не бактерии.  
Антибиотики нужны для борьбы с бактериями: они не дают им нормально расти, размножаться и вредить организму.  
Вирусы устроены иначе: они проникают внутрь наших клеток и используют их как “фабрики” для своего размножения, поэтому обычные антибиотики на них не действуют.  
Если пить антибиотики при вирусной простуде “на всякий случай”, можно получить побочные эффекты и помочь бактериям стать устойчивыми к лечению.  
При большинстве ОРВИ помогают отдых, питьё, проветривание, увлажнение воздуха и средства, которые облегчают симптомы.  
А вот если температура держится долго, становится хуже или появляются необычные симптомы, лучше обратиться к врачу — иногда к вирусу может присоединиться бактериальная инфекция.",
30f1e42df26b120d,"Инфляция снижается — это не значит, что цены в магазинах начали падать.  
Это значит, что они растут медленнее, чем раньше.  
Например, если молоко в прошлом месяце подорожало со 100 до 110 рублей, рост был 10 рублей.  
А в этом месяце оно стало стоить 115 рублей: цена снова выросла, но уже только на 5 рублей.  
Вот это и называется замедлением инфляции: товары продолжают дорожать, просто не такими быстрыми темпами.  
А чтобы цены действительно пошли вниз, нужна не просто низкая инфляция, а дефляция — такое случается заметно реже.","Инфляция снижается — это не значит, что цены в магазинах начали падать.  
Это значит, что они растут медленнее, чем раньше.  
Например, если в прошлом месяце молоко подорожало со 100 до 110 рублей, это был рост на 10 рублей.  
А в этом месяце оно стало стоить 115 рублей: цена снова выросла, но уже только на 5 рублей.  
Вот это и называется замедлением инфляции: товары продолжают дорожать, просто не такими быстрыми темпами.  
Чтобы цены начали снижаться, нужна уже не низкая инфляция, а дефляция — и такое бывает гораздо реже.",
3fd6e3c289802727,"Многие с детства слышали: не хрусти пальцами, а то заработаешь артрит. На самом деле убедительных доказательств, что привычка хрустеть пальцами приводит к артриту, нет. Этот звук возникает не потому, что суставы «стираются»: чаще его связывают с пузырьками газа в суставной жидкости. Исследования не нашли заметной связи между хрустом пальцев и разрушением суставов, хотя у некоторых людей может быть временный дискомфорт или раздражение тканей. Если хруст без боли, отёка и ограничения движения, обычно повода для паники нет. А вот если сустав болит, краснеет, опухает или стал хуже сгибаться, лучше не списывать это на привычку и обратиться к врачу. Так что сам по себе хруст пальцами, похоже, больше раздражает окружающих, чем вредит суставам.","Многие с детства слышали: не хрусти пальцами, а то заработаешь артрит. На самом деле убедительных доказательств, что привычка хрустеть пальцами приводит к артриту, нет. Звук появляется не из-за «стирания» суставов, а чаще всего из-за пузырьков газа в суставной жидкости. В работах на эту тему заметной связи между хрустом пальцев и разрушением суставов не увидели, но у кого-то после этого может ненадолго появляться дискомфорт или раздражение тканей. Если хруст без боли, отёка и ограничения движения, обычно повода для паники нет. А вот если сустав болит, краснеет, опухает или стал хуже сгибаться, лучше не списывать это на привычку и обратиться к врачу. Так что сам по себе хруст пальцами, похоже, больше раздражает окружающих, чем вредит суставам.",
d295a2559306969f,"12 апреля 1961 года Юрий Гагарин стал первым человеком, который полетел в космос.
Он стартовал на корабле «Восток-1» и за 108 минут облетел Землю.
Его знаменитое «Поехали!» до сих пор знают даже те, кто далёк от космонавтики.
Это стало настоящим прорывом для науки и техники: впервые стало ясно, что человек может выйти за пределы Земли.
Для всего мира это событие стало символом смелости, мечты и веры в будущее.
А для нашей страны 12 апреля навсегда осталось Днём космонавтики и поводом гордиться теми, кто открывал дорогу к звёздам.","12 апреля 1961 года Юрий Гагарин стал первым человеком, который полетел в космос.
Он стартовал на корабле «Восток-1» и за 108 минут облетел Землю.
Его знаменитое «Поехали!» до сих пор знают даже те, кто далёк от космонавтики.
Это был огромный шаг для науки и техники, потому что люди впервые доказали: полёт за пределы Земли возможен.
Во всём мире этот полёт стал знаком смелости, мечты и веры в то, что будущее можно приблизить.
А для нашей страны 12 апреля навсегда осталось Днём космонавтики и поводом гордиться теми, кто открывал дорогу к звёздам.",
19935ff4fbdf176a,"Многие думают, что суши — это просто сырая рыба, но на самом деле главное в них — правильно приготовленный рис с рисовым уксусом.  
Именно этот рис, а не начинка, делает блюдо суши.  
В качестве начинки могут быть рыба и морепродукты, омлет, овощи, сыр, грибы или даже тофу.  
Например, есть роллы с креветкой темпура, угрём, крабом, авокадо, огурцом или японским омлетом — и никакой сырой рыбы.  
Ещё бывают нигири, маки, темаки и гункан — формы разные, но идея всё та же: рис плюс удачно подобранная добавка.  
Так что если вы избегаете сырой рыбы, суши всё равно могут вам понравиться — просто выбирайте запечённые, овощные или варианты с готовыми морепродуктами.","Многие думают, что суши — это просто сырая рыба, но на самом деле главное в них — правильно приготовленный рис с рисовым уксусом.  
Именно этот рис, а не начинка, делает блюдо суши.  
Сверху или внутри могут быть рыба, морепродукты, омлет, овощи, сыр, грибы или даже тофу.  
Например, есть роллы с креветкой темпура, угрём, крабом, авокадо, огурцом или японским омлетом — и никакой сырой рыбы.  
Есть и разные форматы — нигири, маки, темаки, гункан, — но суть не меняется: рис и подходящая к нему добавка.  
Так что если вы избегаете сырой рыбы, суши всё равно могут вам понравиться — просто выбирайте запечённые, овощные или варианты с готовыми морепродуктами.",
dbcb0fa97a038e98,"У Луны нет стороны, на которую никогда не попадает солнечный свет. Выражение «тёмная сторона Луны» звучит красиво, но в астрономическом смысле оно сбивает с толку. Луна всегда повернута к Земле одной и той же стороной, потому что её вращение синхронизировано с движением вокруг нашей планеты. При этом, пока Луна движется по орбите, солнечный свет по очереди попадает на разные её участки, и там тоже бывают день и ночь — просто длятся они намного дольше. Та сторона, которую мы с Земли не видим, правильнее называется обратной, а не тёмной. Так что «тёмная сторона» — это скорее поэтичный образ и след популярной культуры, чем реальное место вечной темноты.","У Луны нет стороны, на которую никогда не попадает солнечный свет. Выражение «тёмная сторона Луны» звучит красиво, но в астрономическом смысле оно сбивает с толку. Мы видим одну и ту же лунную «половину» потому, что Луна оборачивается вокруг своей оси за то же время, за какое обходит Землю. Но Солнце освещает разные участки Луны по мере её движения, поэтому день и ночь там сменяют друг друга почти как у нас, только гораздо медленнее. Та сторона, которую мы с Земли не видим, правильнее называется обратной, а не тёмной. Так что «тёмная сторона» — это скорее поэтичный образ и след популярной культуры, чем реальное место вечной темноты.",
b580d8888b3d8325,"Замечали, что металлическая скамейка на улице кажется ледяной, а деревянная рядом — вполне терпимой? Хотя температура у них одинаковая, металл гораздо быстрее забирает тепло от вашей руки или тела. Из-за этого кожа резко остывает, и мозг воспринимает металл как более холодный. Дерево проводит тепло намного хуже, поэтому оно не «вытягивает» его так быстро. Поэтому деревянная скамейка ощущается теплее, даже если термометр показал бы те же самые градусы. Иными словами, ощущение зависит не от «градусов» на скамейке, а от того, с какой скоростью она забирает у нас тепло. Вот почему зимой лучше присесть на дерево, а не на металл — тело скажет спасибо.","Замечали, что металлическая скамейка на улице кажется ледяной, а деревянная рядом — вполне терпимой? Хотя температура у них одинаковая, металл гораздо быстрее забирает тепло от вашей руки или тела. Из-за этого кожа резко остывает, и мозг воспринимает металл как более холодный. Дерево проводит тепло намного хуже, поэтому оно не «вытягивает» его так быстро. Вот и кажется, что деревянная скамейка теплее, хотя термометр показал бы у неё ровно те же градусы. То есть дело не в температуре предмета, а в том, как быстро он обменивается теплом с нами. Вот почему зимой лучше присесть на дерево, а не на металл — тело скажет спасибо.",
c5f4a829bd7327f1,"Путаетесь в Англии, Великобритании и Соединённом Королевстве? Всё проще, чем кажется: Англия — это только одна часть страны, где находятся Лондон, Манчестер и Ливерпуль. Великобритания — это остров, на котором расположены Англия, Шотландия и Уэльс. А Соединённое Королевство — это уже государство целиком: Англия, Шотландия, Уэльс и Северная Ирландия. То есть Северная Ирландия не находится на острове Великобритания, но входит в Соединённое Королевство. Так что британцем может быть шотландец, валлиец или житель Северной Ирландии, а вот англичанином — только тот, кто из Англии. Если совсем коротко: Англия — часть, Великобритания — остров, Соединённое Королевство — страна.","Путаетесь в Англии, Великобритании и Соединённом Королевстве? Всё проще, чем кажется: Англия — это только одна часть страны, где находятся Лондон, Манчестер и Ливерпуль. Великобритания — это остров, на котором расположены Англия, Шотландия и Уэльс. А Соединённое Королевство — это уже государство целиком: Англия, Шотландия, Уэльс и Северная Ирландия. Проще говоря, Северная Ирландия находится не на острове Великобритания, но всё равно является частью Соединённого Королевства. Поэтому британцем может быть и шотландец, и валлиец, и житель Северной Ирландии, а англичанином — только человек из Англии. Если совсем коротко: Англия — часть, Великобритания — остров, Соединённое Королевство — страна.",
