model_id,question_id,family,condition,sentence_index,score
claude-opus-5,p001,history,live,0,34
claude-opus-5,p001,history,post,0,30
claude-opus-5,p001,history,replay,0,32
claude-opus-5,p001,history,live,1,28
claude-opus-5,p001,history,post,1,22
claude-opus-5,p001,history,replay,1,30
claude-opus-5,p001,history,live,2,30
claude-opus-5,p001,history,post,2,25
claude-opus-5,p001,history,replay,2,38
claude-opus-5,p001,history,live,3,41
claude-opus-5,p001,history,post,3,20
claude-opus-5,p001,history,replay,3,35
claude-opus-5,p001,history,live,4,37
claude-opus-5,p001,history,post,4,15
claude-opus-5,p001,history,replay,4,33
claude-opus-5,p001,history,live,5,45
claude-opus-5,p001,history,post,5,28
claude-opus-5,p001,history,replay,5,40
claude-opus-5,p001,history,live,6,22
claude-opus-5,p001,history,post,6,12
claude-opus-5,p001,history,replay,6,28
claude-opus-5,p002,history,live,0,24
claude-opus-5,p002,history,post,0,22
claude-opus-5,p002,history,live,1,18
claude-opus-5,p002,history,post,1,15
claude-opus-5,p002,history,live,2,30
claude-opus-5,p002,history,post,2,30
claude-opus-5,p002,history,live,3,22
claude-opus-5,p002,history,post,3,18
claude-opus-5,p002,history,live,4,45
claude-opus-5,p002,history,post,4,42
claude-opus-5,p002,history,live,5,62
claude-opus-5,p002,history,post,5,55
claude-opus-5,p002,history,live,6,27
claude-opus-5,p002,history,post,6,12
claude-opus-5,p002,history,live,7,15
claude-opus-5,p002,history,post,7,8
claude-opus-5,p003,history,live,0,22
claude-opus-5,p003,history,post,0,18
claude-opus-5,p003,history,live,1,9
claude-opus-5,p003,history,post,1,10
claude-opus-5,p003,history,live,2,45
claude-opus-5,p003,history,post,2,35
claude-opus-5,p003,history,live,3,38
claude-opus-5,p003,history,post,3,30
claude-opus-5,p003,history,live,4,30
claude-opus-5,p003,history,post,4,25
claude-opus-5,p003,history,live,5,12
claude-opus-5,p003,history,post,5,15
claude-opus-5,p003,history,live,6,40
claude-opus-5,p003,history,post,6,40
claude-opus-5,p003,history,live,7,33
claude-opus-5,p003,history,post,7,45
claude-opus-5,p004,history,live,0,22
claude-opus-5,p004,history,post,0,30
claude-opus-5,p004,history,live,1,41
claude-opus-5,p004,history,post,1,38
claude-opus-5,p004,history,live,2,35
claude-opus-5,p004,history,post,2,22
claude-opus-5,p004,history,live,3,18
claude-opus-5,p004,history,post,3,8
claude-opus-5,p004,history,live,4,55
claude-opus-5,p004,history,post,4,55
claude-opus-5,p004,history,live,5,40
claude-opus-5,p004,history,post,5,45
claude-opus-5,p004,history,live,6,48
claude-opus-5,p004,history,post,6,62
claude-opus-5,p004,history,live,7,25
claude-opus-5,p004,history,post,7,18
claude-opus-5,p012,science,live,0,12
claude-opus-5,p012,science,post,0,8
