model_id,variant_id,question_id,n_sentences,live_mean,post_mean,post_minus_live,live_post_spearman,live_post_pairwise_order,replay_mean,replay_minus_live,post_minus_replay
gemini-3.1-pro-preview,minimal,x01_friend_cancel,7,7.428571428571429,16.428571428571427,8.999999999999998,0.3603749850782236,0.65,,,
gemini-3.1-pro-preview,minimal,x02_team_delay,7,12.142857142857142,17.857142857142858,5.714285714285715,0.727392967453308,0.8421052631578947,,,
gemini-3.1-pro-preview,minimal,x03_landlord_update,7,13.285714285714286,22.142857142857142,8.857142857142856,0.3423562358243124,0.6,,,
gemini-3.1-pro-preview,minimal,x04_old_photo,7,12.571428571428571,12.285714285714286,-0.2857142857142847,0.7142857142857143,0.8095238095238095,,,
gemini-3.1-pro-preview,minimal,x05_headphones,8,11.75,16.875,5.125,0.8571428571428571,0.8571428571428571,,,
gemini-3.1-pro-preview,minimal,x06_meal_delivery,7,12.428571428571429,33.57142857142857,21.14285714285714,0.3603749850782236,0.6,,,
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,8,11.0,11.25,0.25,0.4197850785760756,0.6956521739130435,,,
gemini-3.1-pro-preview,minimal,x08_weekend_change,7,9.0,11.714285714285714,2.7142857142857135,0.7041868508280461,0.7777777777777778,,,
gemini-3.1-pro-preview,minimal,x09_bookstore,7,13.714285714285714,13.285714285714286,-0.42857142857142705,0.5455447255899809,0.7368421052631579,,,
gemini-3.1-pro-preview,minimal,x10_dentist_wait,8,13.5,33.125,19.625,0.5988131309566295,0.7777777777777778,,,
gemini-3.1-pro-preview,minimal,x11_shared_office,6,15.0,72.5,57.5,-0.057977103565244846,0.5,,,
gemini-3.1-pro-preview,minimal,x12_bus_detour,7,10.714285714285714,80.71428571428571,70.0,-0.018184824186332698,0.5263157894736842,,,
gemini-3.1-pro-preview,minimal,x13_small_restaurant,7,13.571428571428571,21.714285714285715,8.142857142857144,0.35714285714285715,0.6190476190476191,,,
gemini-3.1-pro-preview,minimal,x14_language_class,7,12.857142857142858,23.571428571428573,10.714285714285715,-0.5946187253790689,0.25,,,
gemini-3.1-pro-preview,minimal,x15_school_pickup,7,8.571428571428571,25.0,16.42857142857143,-0.11118739749916517,0.5,,,
gemini-3.1-pro-preview,minimal,x16_museum,7,9.285714285714286,12.0,2.7142857142857135,0.25,0.6111111111111112,,,
gemini-3.1-pro-preview,minimal,x17_neighbor_package,7,10.428571428571429,17.142857142857142,6.7142857142857135,0.6545454545454545,0.7368421052631579,,,
gemini-3.1-pro-preview,minimal,x18_failed_recipe,7,15.0,30.714285714285715,15.714285714285715,0.9549937104572925,0.95,,,
gemini-3.1-pro-preview,minimal,x19_phone_repair,8,13.625,22.5,8.875,0.8982196964349443,0.8888888888888888,,,
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,7,9.285714285714286,13.857142857142858,4.571428571428571,0.6910233190806425,0.7894736842105263,,,
gemini-3.1-pro-preview,minimal,x21_early_flight,7,14.285714285714286,18.857142857142858,4.571428571428571,0.23854214911071145,0.6666666666666666,,,
gemini-3.1-pro-preview,minimal,x22_market_purchase,7,7.714285714285714,16.285714285714285,8.57142857142857,-0.7142857142857143,0.23809523809523808,,,
gemini-3.1-pro-preview,minimal,x23_child_birthday,7,11.714285714285714,19.0,7.2857142857142865,0.6428571428571429,0.7142857142857143,,,
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,8,16.875,39.125,22.25,0.4523809523809524,0.6785714285714286,,,
gemini-3.1-pro-preview,original,x01_friend_cancel,7,8.571428571428571,9.285714285714286,0.7142857142857153,0.3339115355603141,0.6428571428571429,,,
gemini-3.1-pro-preview,original,x02_team_delay,7,9.285714285714286,12.142857142857142,2.857142857142856,0.27196004146003394,0.6428571428571429,,,
gemini-3.1-pro-preview,original,x03_landlord_update,8,9.375,28.125,18.75,0.03802345503146868,0.47619047619047616,,,
gemini-3.1-pro-preview,original,x04_old_photo,7,9.285714285714286,15.0,5.7142857142857135,0.811465207803627,0.8823529411764706,,,
gemini-3.1-pro-preview,original,x05_headphones,7,12.857142857142858,10.714285714285714,-2.142857142857144,0.7058823529411765,0.8,,,
gemini-3.1-pro-preview,original,x06_meal_delivery,7,12.0,50.714285714285715,38.714285714285715,0.8571428571428571,0.8571428571428571,,,
gemini-3.1-pro-preview,original,x07_colleague_thanks,7,7.142857142857143,17.857142857142858,10.714285714285715,0.7359800721939873,0.875,,,
gemini-3.1-pro-preview,original,x08_weekend_change,6,8.333333333333334,9.166666666666666,0.8333333333333321,0.6333333333333333,0.875,,,
gemini-3.1-pro-preview,original,x09_bookstore,7,7.857142857142857,9.285714285714286,1.4285714285714297,0.3333333333333333,0.7,,,
gemini-3.1-pro-preview,original,x10_dentist_wait,8,12.25,29.375,17.125,0.6927710843373494,0.7692307692307693,,,
gemini-3.1-pro-preview,original,x11_shared_office,7,18.142857142857142,47.857142857142854,29.71428571428571,1.0,1.0,,,
gemini-3.1-pro-preview,original,x12_bus_detour,7,9.285714285714286,20.0,10.714285714285714,0.37527767497325676,0.7333333333333333,,,
gemini-3.1-pro-preview,original,x13_small_restaurant,7,14.285714285714286,15.285714285714286,1.0,0.6574074074074074,0.7777777777777778,,,
gemini-3.1-pro-preview,original,x14_language_class,8,14.125,15.625,1.5,0.6341463414634146,0.8076923076923077,,,
gemini-3.1-pro-preview,original,x15_school_pickup,8,8.375,11.25,2.875,0.6314473581414486,0.8095238095238095,,,
gemini-3.1-pro-preview,original,x16_museum,7,12.142857142857142,17.142857142857142,5.0,0.4531529472296166,0.7058823529411765,,,
gemini-3.1-pro-preview,original,x17_neighbor_package,8,7.75,6.875,-0.875,0.404145188432738,0.7692307692307693,,,
gemini-3.1-pro-preview,original,x18_failed_recipe,7,13.285714285714286,33.57142857142857,20.285714285714285,0.5714285714285714,0.7142857142857143,,,
gemini-3.1-pro-preview,original,x19_phone_repair,7,15.428571428571429,37.857142857142854,22.428571428571423,0.7748062179181807,0.8,,,
gemini-3.1-pro-preview,original,x20_meeting_disagreement,7,14.285714285714286,12.571428571428571,-1.7142857142857153,-0.21428571428571427,0.42857142857142855,,,
gemini-3.1-pro-preview,original,x21_early_flight,6,15.833333333333334,21.666666666666668,5.833333333333334,0.5224462547732156,0.75,,,
gemini-3.1-pro-preview,original,x22_market_purchase,7,9.285714285714286,9.285714285714286,0.0,0.6543303050815759,0.75,,,
gemini-3.1-pro-preview,original,x23_child_birthday,7,11.428571428571429,15.714285714285714,4.285714285714285,0.7886073743156409,0.875,,,
gemini-3.1-pro-preview,original,x24_movie_recommendation,7,14.285714285714286,32.857142857142854,18.57142857142857,0.6789276551612556,0.8333333333333334,,,
gemini-3.1-pro-preview,paraphrase,x01_friend_cancel,7,6.428571428571429,5.714285714285714,-0.7142857142857144,-0.31622776601683794,0.3,,,
gemini-3.1-pro-preview,paraphrase,x02_team_delay,7,4.428571428571429,8.571428571428571,4.142857142857142,0.2412090756622109,0.6428571428571429,,,
gemini-3.1-pro-preview,paraphrase,x03_landlord_update,7,9.285714285714286,15.714285714285714,6.428571428571427,0.5892556509887896,0.8,,,
gemini-3.1-pro-preview,paraphrase,x04_old_photo,7,10.0,7.857142857142857,-2.1428571428571432,0.8767140075192092,1.0,,,
gemini-3.1-pro-preview,paraphrase,x05_headphones,7,7.857142857142857,11.428571428571429,3.571428571428572,0.0659380473395787,0.5714285714285714,,,
gemini-3.1-pro-preview,paraphrase,x06_meal_delivery,7,9.285714285714286,8.571428571428571,-0.7142857142857153,0.9389710680668849,1.0,,,
gemini-3.1-pro-preview,paraphrase,x07_colleague_thanks,7,7.857142857142857,9.285714285714286,1.4285714285714297,0.9890707100936805,1.0,,,
gemini-3.1-pro-preview,paraphrase,x08_weekend_change,7,3.5714285714285716,10.0,6.428571428571429,0.28322059201851035,0.6470588235294118,,,
gemini-3.1-pro-preview,paraphrase,x09_bookstore,7,7.142857142857143,7.0,-0.14285714285714324,0.3546496828075953,0.6666666666666666,,,
gemini-3.1-pro-preview,paraphrase,x10_dentist_wait,8,8.75,28.125,19.375,0.5156174715505673,0.6956521739130435,,,
gemini-3.1-pro-preview,paraphrase,x11_shared_office,7,11.428571428571429,42.857142857142854,31.428571428571423,0.5323117462054054,0.7777777777777778,,,
gemini-3.1-pro-preview,paraphrase,x12_bus_detour,7,11.428571428571429,17.857142857142858,6.428571428571429,0.7779111759054679,0.8333333333333334,,,
gemini-3.1-pro-preview,paraphrase,x13_small_restaurant,7,9.285714285714286,17.857142857142858,8.571428571428571,0.9057894597833127,1.0,,,
gemini-3.1-pro-preview,paraphrase,x14_language_class,8,11.25,17.5,6.25,-0.1304574325609869,0.45454545454545453,,,
gemini-3.1-pro-preview,paraphrase,x15_school_pickup,8,4.875,7.5,2.625,0.19047619047619047,0.6666666666666666,,,
gemini-3.1-pro-preview,paraphrase,x16_museum,7,8.571428571428571,7.857142857142857,-0.7142857142857144,0.06454972243679029,0.5555555555555556,,,
gemini-3.1-pro-preview,paraphrase,x17_neighbor_package,8,4.375,13.125,8.75,-0.050015632328035534,0.47619047619047616,,,
gemini-3.1-pro-preview,paraphrase,x18_failed_recipe,7,8.142857142857142,20.714285714285715,12.571428571428573,0.7363636363636363,0.8421052631578947,,,
gemini-3.1-pro-preview,paraphrase,x19_phone_repair,7,14.285714285714286,26.714285714285715,12.428571428571429,0.47280542884465016,0.7368421052631579,,,
gemini-3.1-pro-preview,paraphrase,x20_meeting_disagreement,7,12.142857142857142,11.428571428571429,-0.7142857142857135,0.9424819839382049,1.0,,,
gemini-3.1-pro-preview,paraphrase,x21_early_flight,7,10.0,14.285714285714286,4.2857142857142865,0.3235294117647059,0.6923076923076923,,,
gemini-3.1-pro-preview,paraphrase,x22_market_purchase,7,7.142857142857143,7.857142857142857,0.7142857142857135,0.5217491947499509,0.8,,,
gemini-3.1-pro-preview,paraphrase,x23_child_birthday,7,9.285714285714286,22.142857142857142,12.857142857142856,0.17431926281167376,0.5555555555555556,,,
gemini-3.1-pro-preview,paraphrase,x24_movie_recommendation,7,10.714285714285714,14.285714285714286,3.571428571428573,0.543078852951278,0.75,,,
gemini-3.1-pro-preview,reverse,x01_friend_cancel,7,3.857142857142857,9.428571428571429,5.571428571428571,0.07273929674533079,0.5263157894736842,,,
gemini-3.1-pro-preview,reverse,x02_team_delay,8,4.25,21.5,17.25,0.6347419188140273,0.7407407407407407,,,
gemini-3.1-pro-preview,reverse,x03_landlord_update,7,3.4285714285714284,8.571428571428571,5.142857142857142,-0.181848241863327,0.42105263157894735,,,
gemini-3.1-pro-preview,reverse,x04_old_photo,7,4.714285714285714,7.0,2.2857142857142856,0.3603749850782236,0.65,,,
gemini-3.1-pro-preview,reverse,x05_headphones,7,3.5714285714285716,10.142857142857142,6.571428571428571,0.5363636363636364,0.6842105263157895,,,
gemini-3.1-pro-preview,reverse,x06_meal_delivery,7,5.285714285714286,5.714285714285714,0.4285714285714288,0.3603749850782236,0.65,,,
gemini-3.1-pro-preview,reverse,x07_colleague_thanks,7,4.142857142857143,8.571428571428571,4.428571428571428,0.6486749731408025,0.8,,,
