model_id,question_id,sentence_index,sentence,human_score
gpt-5.5,p006,0,"If you follow aviation history, December 17, 1903 is one of those dates that really matters.",
gpt-5.5,p006,1,"That morning near Kitty Hawk, North Carolina, Orville and Wilbur Wright got their Flyer off the ground for the first successful powered flight by a heavier-than-air machine.",
gpt-5.5,p006,2,"The first hop was only 12 seconds and 120 feet, which sounds tiny now, but it changed everything.",
gpt-5.5,p006,3,"People had flown in balloons before, and plenty of inventors had experimented with gliders, but the Wright brothers combined power, control, and sustained flight in one aircraft.",
gpt-5.5,p006,4,Their key breakthrough wasn’t just getting into the air — it was being able to steer and manage the plane once it was there.,
gpt-5.5,p006,5,"So yes, a short flight on a cold beach is absolutely worth a post today.",
gpt-5.5,p014,0,"I still catch myself saying “the dark side of the Moon,” but it’s kind of a misleading phrase.",
gpt-5.5,p014,1,"The far side isn’t always dark — it gets sunlight just like the side we see, just at different times.",
gpt-5.5,p014,2,"What people usually mean is the “far side,” because that side mostly faces away from Earth.",
gpt-5.5,p014,3,We keep seeing nearly the same lunar face because the Moon rotates once in about the same time it takes to orbit Earth.,
gpt-5.5,p014,4,"It’s like it’s slowly turning while going around us, keeping one side pointed our way.",
gpt-5.5,p014,5,"So the Moon isn’t hiding some permanently dark half; it’s just tidally locked, which is a cooler and more accurate way to say it.",
gpt-5.5,p026,0,Ever walked out into bright sun and suddenly sneezed like your nose hit a secret button?,
gpt-5.5,p026,1,"Turns out that’s a real thing called the photic sneeze reflex, and it happens to a surprising number of people.",
gpt-5.5,p026,2,"It’s not an allergy to sunlight, and the light isn’t irritating your nose the way pollen or dust would.",
gpt-5.5,p026,3,"The basic idea is that in some people, the nerve signals for bright light and sneezing seem to get a little crossed.",
gpt-5.5,p026,4,"It also tends to run in families, so if you do it, there’s a decent chance someone else in your family does too.",
gpt-5.5,p026,5,"Honestly, it’s kind of funny that stepping outside can make your face reboot for a second.",
gpt-5.5,p031,0,I used to think deleting a file meant it was instantly wiped off the drive forever.,
gpt-5.5,p031,1,"Most of the time, deletion just removes the “map” that tells your computer where that file lives, so the space is marked as available.",
gpt-5.5,p031,2,The actual bits can sit there for a while until something new gets saved over them.,
gpt-5.5,p031,3,"That’s why recovery tools can sometimes bring deleted files back, especially if you stop using the drive right away.",
gpt-5.5,p031,4,It’s also why selling or tossing an old computer without properly wiping the drive can be risky.,
gpt-5.5,p031,5,"If you really want something gone, use a secure erase option or encrypt the drive before getting rid of it.",
gpt-5.5,p043,0,"I saw someone say “our currency is up 10%, so everyone is 10% richer now,” and it’s not really that simple.",
gpt-5.5,p043,1,"An exchange rate just tells you how much one currency trades for against another, not what your paycheck can buy at home.",
gpt-5.5,p043,2,"If rent, groceries, fuel, and bills are still expensive, a stronger currency doesn’t magically make daily life easier.",
gpt-5.5,p043,3,"It can help with imported goods or overseas travel, sure, but that benefit isn’t spread evenly to everyone.",
gpt-5.5,p043,4,"Living standards depend on wages, prices, jobs, debt, public services, and a bunch of other things people actually deal with day to day.",
gpt-5.5,p043,5,"So yes, a currency can “strengthen” on the news, while ordinary people still feel like nothing has changed at the checkout line.",
gpt-5.5,p051,0,Tiny geography note because I used to mix this up too: Holland and the Netherlands aren’t exactly the same thing.,
gpt-5.5,p051,1,"The Netherlands is the whole country, while Holland is just one part of it.",
gpt-5.5,p051,2,"To be extra specific, there are two provinces called North Holland and South Holland, and they include places like Amsterdam, Rotterdam, and The Hague.",
gpt-5.5,p051,3,"Since those areas are so well known, people often say “Holland” when they mean the entire Netherlands.",
gpt-5.5,p051,4,"It’s kind of like saying “England” when you really mean the whole UK — common, but not quite accurate.",
gpt-5.5,p051,5,"So if someone says Holland, you’ll usually know what they mean, but “the Netherlands” is the safer name for the country.",
gpt-5.5,p069,0,"People sometimes talk about “Indian food” like it’s one big thing, but that misses so much of what makes it amazing.",
gpt-5.5,p069,1,"In Kerala, you’ll find coconut, curry leaves, and seafood showing up in ways that feel totally different from the buttery gravies and tandoori dishes people often associate with Punjab.",
gpt-5.5,p069,2,"Go to Gujarat and you might get a sweet-salty dal or fluffy dhokla, while in Bengal mustard oil and fish are a whole love language.",
gpt-5.5,p069,3,"Even the breads change from place to place: rotis, dosas, appams, parathas, puris, and so many more.",
gpt-5.5,p069,4,"Climate, crops, religion, trade, and family traditions all shape what ends up on the plate.",
gpt-5.5,p069,5,"So when we say we love Indian food, it’s worth remembering we’re really talking about dozens of regional food worlds, each with its own story.",
gpt-5.5,p076,0,"One thing I love about Hebrew is how many words seem to grow out of a little cluster of consonants, usually three of them.",
gpt-5.5,p076,1,"For example, a root can show up in verbs, nouns, and adjectives that all circle the same basic idea, like a word family with a shared DNA.",
gpt-5.5,p076,2,"It’s a really helpful way to notice connections, especially when you’re learning new vocabulary and suddenly a word feels less random.",
gpt-5.5,p076,3,"That said, it’s not a magic code that explains every single word perfectly.",
gpt-5.5,p076,4,"Languages are messy, old, borrowed-from-everywhere things, so some words have shifted meanings or don’t fit the pattern neatly.",
gpt-5.5,p076,5,"Still, once you start seeing the roots, Hebrew can feel a little less like a list to memorize and more like a web of related ideas.",
gpt-5.5,p085,0,Jazz improvisation isn’t just somebody throwing random notes into the air and hoping they land.,
gpt-5.5,p085,1,"Most players are listening to the chords, feeling the groove, and choosing notes that make sense in that moment.",
gpt-5.5,p085,2,"It’s kind of like having a conversation: you can say something new, but you’re still using a shared language.",
gpt-5.5,p085,3,"The rhythm, the style of the tune, and even little musical phrases everyone knows help guide what happens next.",
gpt-5.5,p085,4,"That’s why a solo can feel spontaneous and surprising, but still fit perfectly with the band.",
gpt-5.5,p085,5,"To me, the magic is that jazz musicians can be free without being totally untethered.",
gpt-5.5,p093,0,"I always heard that sugar turns kids into tiny tornadoes, but the research on that is a lot less clear than the legend.",
gpt-5.5,p093,1,"In studies where parents and kids don’t know who actually got sugar, sugar usually doesn’t cause a noticeable jump in hyperactivity.",
gpt-5.5,p093,2,"What often does make kids wild is the setting: birthday parties, holidays, sleepovers, excitement, noise, and staying up late.",
gpt-5.5,p093,3,"There’s even evidence that if parents think their child had sugar, they may watch for “hyper” behavior more closely and notice it more.",
gpt-5.5,p093,4,"That doesn’t mean candy is suddenly a health food, of course, just that blaming every zoomie session on sugar is probably too simple.",
gpt-5.5,p093,5,"Kids can absolutely get wound up after dessert, but the science says the dessert may not be the main reason.",
