language,model_id,question_id,live_score,expanded_replay,post_score,writer_critic,future_context,total_retrospective
en,gemini-3.1-pro-preview,p001,11.666666666666666,30.0,37.5,18.333333333333336,7.5,25.833333333333336
en,gemini-3.1-pro-preview,p002,14.285714285714286,18.428571428571427,65.71428571428571,4.142857142857141,47.28571428571428,51.42857142857142
en,gemini-3.1-pro-preview,p003,12.857142857142858,13.571428571428571,34.285714285714285,0.7142857142857135,20.714285714285715,21.428571428571427
en,gemini-3.1-pro-preview,p004,19.166666666666668,17.5,44.166666666666664,-1.6666666666666679,26.666666666666664,24.999999999999996
en,gemini-3.1-pro-preview,p012,15.833333333333334,9.166666666666666,14.166666666666666,-6.666666666666668,5.0,-1.6666666666666679
en,gemini-3.1-pro-preview,p013,9.166666666666666,11.5,21.666666666666668,2.333333333333334,10.166666666666668,12.500000000000002
en,gemini-3.1-pro-preview,p015,22.857142857142858,22.857142857142858,54.285714285714285,0.0,31.428571428571427,31.428571428571427
en,gemini-3.1-pro-preview,p018,29.285714285714285,29.285714285714285,35.0,0.0,5.714285714285715,5.714285714285715
en,gemini-3.1-pro-preview,p021,11.428571428571429,22.142857142857142,42.857142857142854,10.714285714285714,20.71428571428571,31.428571428571423
en,gemini-3.1-pro-preview,p025,15.714285714285714,21.428571428571427,32.142857142857146,5.7142857142857135,10.714285714285719,16.42857142857143
en,gemini-3.1-pro-preview,p027,14.166666666666666,14.166666666666666,16.666666666666668,0.0,2.5000000000000018,2.5000000000000018
en,gemini-3.1-pro-preview,p029,15.714285714285714,10.714285714285714,18.571428571428573,-5.0,7.857142857142859,2.8571428571428594
en,gemini-3.1-pro-preview,p033,15.0,5.833333333333333,29.166666666666668,-9.166666666666668,23.333333333333336,14.166666666666668
en,gemini-3.1-pro-preview,p034,10.833333333333334,11.5,16.666666666666668,0.6666666666666661,5.166666666666668,5.833333333333334
en,gemini-3.1-pro-preview,p035,10.0,10.0,47.142857142857146,0.0,37.142857142857146,37.142857142857146
en,gemini-3.1-pro-preview,p040,8.142857142857142,10.714285714285714,32.857142857142854,2.571428571428571,22.14285714285714,24.71428571428571
en,gemini-3.1-pro-preview,p042,9.166666666666666,13.333333333333334,23.333333333333332,4.166666666666668,9.999999999999998,14.166666666666666
