model_id,question_id,sentence_index,sentence,human_score
gpt-5.5,p001,0,"On October 4, 1957, the Soviet Union launched Sputnik 1, the first human-made satellite to orbit Earth.",
gpt-5.5,p001,1,"It was just a small metal sphere with a radio beep, but that beep was heard around the world.",
gpt-5.5,p001,2,"For many people, especially in the United States, it was a shocking sign that the Cold War had moved into space.",
gpt-5.5,p001,3,"The launch pushed governments to pour money into science, engineering, rockets, and education in a hurry.",
gpt-5.5,p001,4,"It also helped spark the Space Race, leading eventually to astronauts in orbit and humans walking on the Moon.",
gpt-5.5,p001,5,Sputnik changed the mood of its time by making technology feel both thrilling and a little terrifying.,
gpt-5.5,p002,0,"On April 12, 1961, Yuri Gagarin became the first human being to travel into space, orbiting Earth in the Soviet spacecraft Vostok 1.",
gpt-5.5,p002,1,"It’s wild to think his whole flight lasted less than two hours, but it changed how people saw what was possible.",
gpt-5.5,p002,2,This wasn’t just a big “first” in the space race — it made the planet feel a little smaller and the future feel a lot bigger.,
gpt-5.5,p002,3,"For the first time, someone had looked back at Earth from above and seen it as one shared home.",
gpt-5.5,p002,4,"The moment inspired scientists, dreamers, and ordinary people all over the world to imagine going farther.",
gpt-5.5,p002,5,"More than six decades later, April 12 still feels like a reminder that huge leaps often start with one brave trip into the unknown.",
gpt-5.5,p003,0,"Saw November 9, 1989 on an anniversary calendar today and had one of those “oh wow, that was huge” moments.",
gpt-5.5,p003,1,"That was the night the Berlin Wall effectively opened, after nearly three decades of dividing East and West Berlin.",
gpt-5.5,p003,2,"Families and friends who had been separated by the Cold War suddenly started crossing through checkpoints, climbing on the wall, and celebrating in the streets.",
gpt-5.5,p003,3,It didn’t just change one city; it became a powerful symbol that communist control in Eastern Europe was cracking.,
gpt-5.5,p003,4,"Within a year, Germany was reunified, and the map and mood of Europe shifted in a way that still matters today.",
gpt-5.5,p003,5,Pretty amazing to think that a date on a calendar can mark the moment when so many people finally got a chance to be together again.,
gpt-5.5,p004,0,"On November 11, 1918, the guns finally fell silent on the Western Front after more than four years of World War I.",
gpt-5.5,p004,1,"At 11 a.m., the armistice between Germany and the Allies took effect, and people who had lived with so much fear could finally imagine peace again.",
gpt-5.5,p004,2,"It didn’t magically heal the losses or fix the broken cities, but it marked the end of the fighting that had changed millions of lives.",
gpt-5.5,p004,3,"That’s why November 11 became such a powerful date in places like Britain, France, Canada, Australia, and New Zealand, where it is remembered as Armistice Day or Remembrance Day.",
gpt-5.5,p004,4,"In the United States, the same date later became Veterans Day, a time to honor all who have served in the military.",
