pair_id,text_A,text_B,more_human_A_B_or_tie
168c01e5e58b0bbd,"Удалили файл с компьютера — и кажется, что он просто исчез навсегда. На самом деле чаще всего система просто помечает место, где лежали данные, как свободное. Пока на этот участок диска не записана новая информация, файл иногда можно восстановить специальными программами. Поэтому корзина, «удалить навсегда» и даже форматирование не всегда означают мгновенное уничтожение данных. Если нужно действительно стереть что-то важное, лучше использовать специальные инструменты для безопасного удаления или шифрование диска. Об этом точно стоит помнить, если собираетесь продавать ноутбук, телефон или внешний накопитель. Так что удаление файла — это скорее снятие таблички с полки, чем немедленное сжигание самой полки.","Удалили файл с компьютера — и кажется, что он просто исчез навсегда. На самом деле чаще всего система просто помечает место, где лежали данные, как свободное. Пока на этот участок диска не записана новая информация, файл иногда можно восстановить специальными программами. Поэтому корзина, «удалить навсегда» и даже форматирование не всегда означают мгновенное уничтожение данных. Если речь о действительно важных данных, стоит воспользоваться программами для надежного стирания или заранее включить шифрование диска. Особенно это актуально перед продажей ноутбука, телефона или внешнего накопителя. Так что удаление файла — это скорее снятие таблички с полки, чем немедленное сжигание самой полки.",
b7ea5899aa748fb2,"Японская кухня чаще про чистый вкус продукта: свежая рыба, рис, соевый соус, водоросли и минимум лишнего.  
Корейская, наоборот, обычно ярче и острее: кимчи, чеснок, кунжутное масло, паста кочудян и много ферментированных вкусов.  
В Японии сразу вспоминаются суши, рамен, мисо-суп, темпура и аккуратные бенто, где всё разложено почти как маленькая композиция.  
В Корее на столе легко окажутся пибимпап, кимчиччигэ, корейское барбекю, токпокки и куча маленьких закусок панчхан, которые все пробуют вместе.  
За японским столом чаще чувствуется сдержанность: порции небольшие, вкус спокойный, а палочки не принято втыкать в рис.  
В Корее всё чаще крутится вокруг общего стола: мясо жарят тут же, блюда ставят на всех, а попросить добавку и оживлённо болтать — совершенно нормально.","Японская кухня чаще про чистый вкус продукта: свежая рыба, рис, соевый соус, водоросли и минимум лишнего.  
Корейская, наоборот, обычно ярче и острее: кимчи, чеснок, кунжутное масло, паста кочудян и много ферментированных вкусов.  
Если говорить о Японии, на ум первыми приходят суши, рамен, мисо-суп, темпура и бенто — аккуратные коробочки, где всё разложено как небольшая композиция.  
В Корее на столе легко окажутся пибимпап, кимчиччигэ, корейское барбекю, токпокки и куча маленьких закусок панчхан, которые все пробуют вместе.  
За японским столом чаще чувствуется сдержанность: порции небольшие, вкус спокойный, а палочки не принято втыкать в рис.  
В Корее еда более общая и шумная: мясо жарят прямо за столом, блюда делят на всех, а добавка и активные разговоры только приветствуются.",
32621b801e1ea79b,"Когда мы простужаемся, чаще всего виноваты вирусы, а не бактерии.  
Антибиотики работают против бактерий: они мешают им расти, размножаться или разрушать наши ткани.  
С вирусами всё по-другому: они забираются в наши клетки и размножаются за их счёт, поэтому обычные антибиотики против них бессильны.  
Если пить антибиотики при вирусной простуде “на всякий случай”, можно получить побочные эффекты и помочь бактериям стать устойчивыми к лечению.  
При большинстве ОРВИ помогают отдых, питьё, проветривание, увлажнение воздуха и средства, которые облегчают симптомы.  
А вот если температура держится долго, становится хуже или появляются необычные симптомы, лучше обратиться к врачу — иногда к вирусу может присоединиться бактериальная инфекция.","Когда мы простужаемся, чаще всего виноваты вирусы, а не бактерии.  
Антибиотики нужны для борьбы с бактериями: они не дают им нормально расти, размножаться и вредить организму.  
Вирусы устроены иначе: они проникают внутрь наших клеток и используют их как “фабрики” для своего размножения, поэтому обычные антибиотики на них не действуют.  
Если пить антибиотики при вирусной простуде “на всякий случай”, можно получить побочные эффекты и помочь бактериям стать устойчивыми к лечению.  
При большинстве ОРВИ помогают отдых, питьё, проветривание, увлажнение воздуха и средства, которые облегчают симптомы.  
А вот если температура держится долго, становится хуже или появляются необычные симптомы, лучше обратиться к врачу — иногда к вирусу может присоединиться бактериальная инфекция.",
30f1e42df26b120d,"Инфляция снижается — это не значит, что цены в магазинах начали падать.  
Это значит, что они растут медленнее, чем раньше.  
Например, если молоко в прошлом месяце подорожало со 100 до 110 рублей, рост был 10 рублей.  
А в этом месяце оно стало стоить 115 рублей: цена снова выросла, но уже только на 5 рублей.  
Вот это и называется замедлением инфляции: товары продолжают дорожать, просто не такими быстрыми темпами.  
А чтобы цены действительно пошли вниз, нужна не просто низкая инфляция, а дефляция — такое случается заметно реже.","Инфляция снижается — это не значит, что цены в магазинах начали падать.  
Это значит, что они растут медленнее, чем раньше.  
Например, если в прошлом месяце молоко подорожало со 100 до 110 рублей, это был рост на 10 рублей.  
А в этом месяце оно стало стоить 115 рублей: цена снова выросла, но уже только на 5 рублей.  
Вот это и называется замедлением инфляции: товары продолжают дорожать, просто не такими быстрыми темпами.  
Чтобы цены начали снижаться, нужна уже не низкая инфляция, а дефляция — и такое бывает гораздо реже.",
3fd6e3c289802727,"Многие с детства слышали: не хрусти пальцами, а то заработаешь артрит. На самом деле убедительных доказательств, что привычка хрустеть пальцами приводит к артриту, нет. Этот звук возникает не потому, что суставы «стираются»: чаще его связывают с пузырьками газа в суставной жидкости. Исследования не нашли заметной связи между хрустом пальцев и разрушением суставов, хотя у некоторых людей может быть временный дискомфорт или раздражение тканей. Если хруст без боли, отёка и ограничения движения, обычно повода для паники нет. А вот если сустав болит, краснеет, опухает или стал хуже сгибаться, лучше не списывать это на привычку и обратиться к врачу. Так что сам по себе хруст пальцами, похоже, больше раздражает окружающих, чем вредит суставам.","Многие с детства слышали: не хрусти пальцами, а то заработаешь артрит. На самом деле убедительных доказательств, что привычка хрустеть пальцами приводит к артриту, нет. Звук появляется не из-за «стирания» суставов, а чаще всего из-за пузырьков газа в суставной жидкости. В работах на эту тему заметной связи между хрустом пальцев и разрушением суставов не увидели, но у кого-то после этого может ненадолго появляться дискомфорт или раздражение тканей. Если хруст без боли, отёка и ограничения движения, обычно повода для паники нет. А вот если сустав болит, краснеет, опухает или стал хуже сгибаться, лучше не списывать это на привычку и обратиться к врачу. Так что сам по себе хруст пальцами, похоже, больше раздражает окружающих, чем вредит суставам.",
14f5eb0935f98b70,"Часто путаете японскую и корейскую кухню, думая, что это одно и то же? Главное отличие кроется во вкусах: японцы ценят натуральность и деликатность, а корейцы обожают яркие, острые и насыщенные специями блюда. В Японии балом правят свежая рыба, рис и соевый соус, поэтому на столе чаще всего можно встретить суши или легкий рамен. А вот в Корее делают ставку на маринованное мясо, ферментированные овощи и жгучую пасту кочуджан, поэтому там главными хитами будут сочный пулькоги и острая капуста кимчи. За столом тоже есть свои фишки: в корейских заведениях вам всегда бесплатно принесут кучу маленьких закусок (панчханов), которыми принято делиться со всеми. А вот в Японии у каждого обычно своя индивидуальная порция, и смешивать еду из разных тарелок не принято. А что вам больше по душе — утонченная Япония или огненная Корея?","Часто путаете японскую и корейскую кухню, думая, что это одно и то же? Главное отличие кроется во вкусах: японцы ценят натуральность и деликатность, а корейцы обожают яркие, острые и насыщенные специями блюда. В Японии балом правят свежая рыба, рис и соевый соус, поэтому на столе чаще всего можно встретить суши или легкий рамен. Корея же немыслима без маринованного мяса, ферментированных овощей и жгучей пасты кочуджан, из которых готовят знаменитый пулькоги или пикантную кимчи. Привычки за столом тоже отличаются: в корейских ресторанах стол обычно заставляют бесплатными тарелочками с закусками (панчханами), которые принято есть всей компанией. А вот в Японии у каждого обычно своя индивидуальная порция, и смешивать еду из разных тарелок не принято. А что вам больше по душе — утонченная Япония или огненная Корея?",
a4a28cf1577f4a5a,"Путаете Англию, Великобританию и Соединённое Королевство? Давайте разберёмся на пальцах, чтобы больше никогда их не путать. Англия — это просто одна отдельная страна, такая же, как Шотландия или Уэльс. Великобритания — это географическое название большого острова, на котором все эти три страны расположены. А вот Соединённое Королевство — это уже полноценное государство, куда входит весь этот остров плюс Северная Ирландия. Грубо говоря, Англия — это комната, Великобритания — сам дом, а Соединённое Королевство — это дом вместе с пристроенным гаражом. Сохраните эту шпаргалку, чтобы при случае козырнуть знаниями в споре с друзьями.","Путаете Англию, Великобританию и Соединённое Королевство? Давайте разберёмся на пальцах, чтобы больше никогда их не путать. Англия — это просто отдельная страна, наравне с Шотландией и Уэльсом. Великобритания — это географическое название большого острова, на котором все эти три страны расположены. А вот Соединённое Королевство — это уже полноценное государство, куда входит весь этот остров плюс Северная Ирландия. Грубо говоря, Англия — это комната, Великобритания — сам дом, а Соединённое Королевство — это дом вместе с пристроенным гаражом. Сохраняйте пост, чтобы в следующий раз точно блеснуть эрудицией в споре!",
b945dcd069be1621,"Многие из нас слышали загадочное выражение «тёмная сторона Луны» и думают, что там царит вечная ночь. На самом деле это просто популярный миф, подкреплённый культовым альбомом Pink Floyd. С Земли мы всегда видим только одно полушарие нашего спутника, потому что Луна вращается вокруг своей оси ровно с той же скоростью, что и вокруг нашей планеты. Но это вовсе не значит, что на обратную сторону никогда не попадают солнечные лучи! Когда мы любуемся тонким месяцем или новолунием, та самая «невидимая» для нас часть как раз ярко освещена Солнцем. Так что правильнее называть её не тёмной, а просто обратной стороной. А вам никогда не было интересно, как на самом деле выглядит эта скрытая от нас половина?","Многие из нас слышали загадочное выражение «тёмная сторона Луны» и думают, что там царит вечная ночь. На самом деле это всего лишь миф, который стал таким популярным во многом благодаря культовому альбому Pink Floyd. С Земли мы всегда видим только одно полушарие нашего спутника, потому что Луна вращается вокруг своей оси ровно с той же скоростью, что и вокруг нашей планеты. Но это вовсе не значит, что на обратную сторону никогда не попадают солнечные лучи! Когда мы любуемся тонким месяцем или новолунием, та самая «невидимая» для нас часть как раз ярко освещена Солнцем. Так что правильнее называть её не тёмной, а просто обратной стороной. А вы когда-нибудь задумывались, как выглядят пейзажи на той, скрытой от наших глаз территории?",
aaf0c8eb3f1a4ef4,"Вы когда-нибудь задумывались, куда на самом деле исчезают файлы после очистки корзины? На самом деле операционная система не стирает сами данные сразу. Она просто удаляет информацию о том, где находится этот файл, и помечает занятое им место на диске как свободное. Из-за этого ваш документ или фотография продолжает физически лежать в памяти компьютера, пока поверх них не запишут новую информацию. Именно поэтому случайно удаленные данные часто можно легко спасти с помощью специальных программ для восстановления. Так что перед продажей или передачей старого ноутбука недостаточно просто отправить личные папки в корзину. Лучше использовать полное форматирование диска, чтобы ваши секреты точно не достались чужим людям!","Вы когда-нибудь задумывались, куда на самом деле исчезают файлы после очистки корзины? На самом деле операционная система не стирает сами данные сразу. Она просто удаляет «указатель» на этот файл, помечая место на диске как свободное. Из-за этого ваш документ или фотография продолжает физически лежать в памяти компьютера, пока поверх них не запишут новую информацию. Именно поэтому случайно удаленные данные часто можно легко спасти с помощью специальных программ для восстановления. Так что, если соберетесь продавать или отдавать старый ноутбук, просто скинуть личные папки в корзину будет недостаточно. Лучше использовать полное форматирование диска, чтобы ваши секреты точно не достались чужим людям!",
5f2118af8d8c1299,"Замечали ли вы, что зимой металлическая скамейка в парке всегда кажется ледяной, а деревянная — вполне терпимой, хотя на улице одинаковый минус? На самом деле, температура у них абсолютно одинаковая, просто наши ощущения нас обманывают. Всё дело в обычной теплопроводности. Металл отлично проводит тепло, поэтому он мгновенно «вытягивает» его из вашего тела, когда вы на него садитесь. Дерево же, наоборот, забирает наше тепло очень медленно, выступая своеобразным барьером. Именно из-за этой быстрой потери тепла на металле наш мозг бьет тревогу, сигнализируя о жутком холоде. Так что для долгих посиделок на свежем воздухе всегда выбирайте деревянные лавочки, чтобы не замерзнуть!","Замечали ли вы, что зимой металлическая скамейка в парке всегда кажется ледяной, а деревянная — вполне терпимой, хотя на улице одинаковый минус? На самом деле, температура у них абсолютно одинаковая, просто наши ощущения нас обманывают. Весь секрет кроется в таком физическом свойстве, как теплопроводность. Металл отлично проводит тепло, поэтому он мгновенно «вытягивает» его из вашего тела, когда вы на него садитесь. Дерево же, наоборот, забирает наше тепло очень медленно, выступая своеобразным барьером. Из-за такой резкой потери тепла кожа моментально остывает, и мы чувствуем сильный холод. Так что для долгих посиделок на свежем воздухе всегда выбирайте деревянные лавочки, чтобы не замерзнуть!",
