model_id,question_id,family,sentence_index,live_score,post_score,replay_score
claude-opus-5,p001,history,0,34,30,32
claude-opus-5,p001,history,1,28,22,30
claude-opus-5,p001,history,2,30,25,38
claude-opus-5,p001,history,3,41,20,35
claude-opus-5,p001,history,4,37,15,33
claude-opus-5,p001,history,5,45,28,40
claude-opus-5,p001,history,6,22,12,28
claude-opus-5,p002,history,0,24,22,
claude-opus-5,p002,history,1,18,15,
claude-opus-5,p002,history,2,30,30,
claude-opus-5,p002,history,3,22,18,
claude-opus-5,p002,history,4,45,42,
claude-opus-5,p002,history,5,62,55,
claude-opus-5,p002,history,6,27,12,
claude-opus-5,p002,history,7,15,8,
claude-opus-5,p003,history,0,22,18,
claude-opus-5,p003,history,1,9,10,
claude-opus-5,p003,history,2,45,35,
claude-opus-5,p003,history,3,38,30,
claude-opus-5,p003,history,4,30,25,
claude-opus-5,p003,history,5,12,15,
claude-opus-5,p003,history,6,40,40,
claude-opus-5,p003,history,7,33,45,
claude-opus-5,p004,history,0,22,30,
claude-opus-5,p004,history,1,41,38,
claude-opus-5,p004,history,2,35,22,
claude-opus-5,p004,history,3,18,8,
claude-opus-5,p004,history,4,55,55,
claude-opus-5,p004,history,5,40,45,
claude-opus-5,p004,history,6,48,62,
claude-opus-5,p004,history,7,25,18,
claude-opus-5,p012,science,0,12,8,
claude-opus-5,p012,science,1,18,12,
claude-opus-5,p012,science,2,30,25,
claude-opus-5,p012,science,3,35,30,
claude-opus-5,p012,science,4,33,22,
claude-opus-5,p012,science,5,45,35,
claude-opus-5,p012,science,6,30,28,
claude-opus-5,p012,science,7,15,10,
claude-opus-5,p013,science,0,12,8,
claude-opus-5,p013,science,1,25,22,
claude-opus-5,p013,science,2,45,45,
claude-opus-5,p013,science,3,40,35,
claude-opus-5,p013,science,4,55,40,
claude-opus-5,p013,science,5,48,30,
claude-opus-5,p013,science,6,18,10,
claude-opus-5,p015,science,0,25,22,
claude-opus-5,p015,science,1,55,45,
claude-opus-5,p015,science,2,70,55,
claude-opus-5,p015,science,3,45,40,
claude-opus-5,p015,science,4,40,35,
claude-opus-5,p015,science,5,55,50,
claude-opus-5,p015,science,6,30,48,
claude-opus-5,p018,science,0,12,12,
claude-opus-5,p018,science,1,20,10,
claude-opus-5,p018,science,2,45,25,
claude-opus-5,p018,science,3,40,30,
claude-opus-5,p018,science,4,35,22,
claude-opus-5,p018,science,5,38,28,
claude-opus-5,p018,science,6,55,40,
claude-opus-5,p018,science,7,15,15,
claude-opus-5,p021,biology_medicine,0,12,12,
claude-opus-5,p021,biology_medicine,1,18,10,
claude-opus-5,p021,biology_medicine,2,30,22,
claude-opus-5,p021,biology_medicine,3,42,38,
claude-opus-5,p021,biology_medicine,4,38,30,
claude-opus-5,p021,biology_medicine,5,35,25,
claude-opus-5,p021,biology_medicine,6,15,8,
claude-opus-5,p025,biology_medicine,0,18,18,
claude-opus-5,p025,biology_medicine,1,25,15,
claude-opus-5,p025,biology_medicine,2,40,35,
claude-opus-5,p025,biology_medicine,3,35,30,
claude-opus-5,p025,biology_medicine,4,30,32,
claude-opus-5,p025,biology_medicine,5,22,25,
claude-opus-5,p025,biology_medicine,6,15,12,
claude-opus-5,p027,biology_medicine,0,18,22,
claude-opus-5,p027,biology_medicine,1,35,34,
claude-opus-5,p027,biology_medicine,2,55,46,
claude-opus-5,p027,biology_medicine,3,40,25,
claude-opus-5,p027,biology_medicine,4,62,42,
claude-opus-5,p027,biology_medicine,5,48,28,
claude-opus-5,p027,biology_medicine,6,52,52,
claude-opus-5,p027,biology_medicine,7,45,38,
claude-opus-5,p029,biology_medicine,0,12,12,
claude-opus-5,p029,biology_medicine,1,35,30,
claude-opus-5,p029,biology_medicine,2,68,55,
claude-opus-5,p029,biology_medicine,3,72,50,
claude-opus-5,p029,biology_medicine,4,30,25,
claude-opus-5,p029,biology_medicine,5,45,35,
claude-opus-5,p029,biology_medicine,6,22,20,
claude-opus-5,p033,technology,0,22,18,
claude-opus-5,p033,technology,1,15,12,
claude-opus-5,p033,technology,2,45,35,
claude-opus-5,p033,technology,3,55,42,
claude-opus-5,p033,technology,4,48,33,
claude-opus-5,p033,technology,5,38,28,
claude-opus-5,p033,technology,6,30,15,
claude-opus-5,p034,technology,0,12,8,
claude-opus-5,p034,technology,1,30,30,
claude-opus-5,p034,technology,2,35,35,
claude-opus-5,p034,technology,3,28,33,
claude-opus-5,p034,technology,4,33,40,
claude-opus-5,p034,technology,5,22,22,
claude-opus-5,p034,technology,6,20,28,
claude-opus-5,p035,technology,0,22,22,
claude-opus-5,p035,technology,1,34,35,
claude-opus-5,p035,technology,2,30,30,
claude-opus-5,p035,technology,3,26,28,
claude-opus-5,p035,technology,4,31,40,
claude-opus-5,p035,technology,5,19,12,
claude-opus-5,p035,technology,6,15,8,
claude-opus-5,p040,technology,0,35,18,
claude-opus-5,p040,technology,1,30,12,
claude-opus-5,p040,technology,2,40,20,
claude-opus-5,p040,technology,3,45,25,
claude-opus-5,p040,technology,4,50,38,
claude-opus-5,p040,technology,5,55,40,
claude-opus-5,p040,technology,6,30,15,
claude-opus-5,p042,economics,0,18,22,28
claude-opus-5,p042,economics,1,22,15,19
claude-opus-5,p042,economics,2,35,35,32
claude-opus-5,p042,economics,3,42,45,38
claude-opus-5,p042,economics,4,48,55,45
claude-opus-5,p042,economics,5,45,50,42
claude-opus-5,p042,economics,6,40,40,40
claude-opus-5,p042,economics,7,20,18,30
claude-opus-5,p044,economics,0,12,18,12
claude-opus-5,p044,economics,1,40,30,30
claude-opus-5,p044,economics,2,30,35,27
claude-opus-5,p044,economics,3,25,25,22
claude-opus-5,p044,economics,4,33,15,25
claude-opus-5,p044,economics,5,45,40,33
claude-opus-5,p044,economics,6,28,22,20
claude-opus-5,p044,economics,7,20,20,18
claude-opus-5,p045,economics,0,18,18,
claude-opus-5,p045,economics,1,22,22,
claude-opus-5,p045,economics,2,35,30,
claude-opus-5,p045,economics,3,48,62,
claude-opus-5,p045,economics,4,30,35,
claude-opus-5,p045,economics,5,33,40,
claude-opus-5,p045,economics,6,25,20,
claude-opus-5,p045,economics,7,52,66,
claude-opus-5,p046,economics,0,12,8,
claude-opus-5,p046,economics,1,35,22,
claude-opus-5,p046,economics,2,8,5,
claude-opus-5,p046,economics,3,45,30,
claude-opus-5,p046,economics,4,55,40,
claude-opus-5,p046,economics,5,50,35,
claude-opus-5,p046,economics,6,10,10,
claude-opus-5,p052,geography,0,18,18,
claude-opus-5,p052,geography,1,22,30,
claude-opus-5,p052,geography,2,40,45,
claude-opus-5,p052,geography,3,45,40,
claude-opus-5,p052,geography,4,25,25,
claude-opus-5,p052,geography,5,55,55,
claude-opus-5,p052,geography,6,20,35,
claude-opus-5,p054,geography,0,18,12,
claude-opus-5,p054,geography,1,40,22,
claude-opus-5,p054,geography,2,45,38,
claude-opus-5,p054,geography,3,35,15,
claude-opus-5,p054,geography,4,30,30,
claude-opus-5,p054,geography,5,42,42,
claude-opus-5,p054,geography,6,22,16,
claude-opus-5,p056,geography,0,12,18,
claude-opus-5,p056,geography,1,30,30,
claude-opus-5,p056,geography,2,35,45,
claude-opus-5,p056,geography,3,28,40,
claude-opus-5,p056,geography,4,25,55,
claude-opus-5,p056,geography,5,40,50,
claude-opus-5,p056,geography,6,10,25,
claude-opus-5,p065,food_culture,0,18,22,
claude-opus-5,p065,food_culture,1,30,30,
claude-opus-5,p065,food_culture,2,45,48,
claude-opus-5,p065,food_culture,3,55,55,
claude-opus-5,p065,food_culture,4,35,33,
claude-opus-5,p065,food_culture,5,50,52,
claude-opus-5,p065,food_culture,6,40,45,
claude-opus-5,p066,food_culture,0,18,18,
claude-opus-5,p066,food_culture,1,30,42,
claude-opus-5,p066,food_culture,2,35,38,
claude-opus-5,p066,food_culture,3,40,55,
claude-opus-5,p066,food_culture,4,25,20,
claude-opus-5,p066,food_culture,5,45,45,
claude-opus-5,p066,food_culture,6,30,15,
claude-opus-5,p068,food_culture,0,22,18,
claude-opus-5,p068,food_culture,1,30,25,
claude-opus-5,p068,food_culture,2,45,30,
claude-opus-5,p068,food_culture,3,38,35,
claude-opus-5,p068,food_culture,4,40,20,
claude-opus-5,p068,food_culture,5,55,45,
claude-opus-5,p068,food_culture,6,62,55,
claude-opus-5,p068,food_culture,7,20,15,
claude-opus-5,p070,food_culture,0,12,12,15
claude-opus-5,p070,food_culture,1,20,8,20
claude-opus-5,p070,food_culture,2,40,35,35
claude-opus-5,p070,food_culture,3,45,45,45
claude-opus-5,p070,food_culture,4,55,55,40
claude-opus-5,p070,food_culture,5,48,60,50
claude-opus-5,p070,food_culture,6,22,15,30
claude-opus-5,p071,language,0,25,,
claude-opus-5,p071,language,1,40,,
claude-opus-5,p071,language,2,45,,
claude-opus-5,p071,language,3,50,,
claude-opus-5,p071,language,4,30,,
claude-opus-5,p071,language,5,55,,
claude-opus-5,p071,language,6,40,,
claude-opus-5,p071,language,7,60,,
claude-opus-5,p073,language,0,18,18,
claude-opus-5,p073,language,1,40,55,
claude-opus-5,p073,language,2,22,22,
claude-opus-5,p073,language,3,55,62,
claude-opus-5,p073,language,4,48,48,
claude-opus-5,p073,language,5,44,40,
claude-opus-5,p073,language,6,25,25,
claude-opus-5,p077,language,0,20,12,
claude-opus-5,p077,language,1,30,20,
claude-opus-5,p077,language,2,55,42,
claude-opus-5,p077,language,3,60,48,
claude-opus-5,p077,language,4,55,45,
claude-opus-5,p077,language,5,45,52,
claude-opus-5,p077,language,6,35,25,
claude-opus-5,p081,arts_culture,0,18,12,
claude-opus-5,p081,arts_culture,1,35,25,
claude-opus-5,p081,arts_culture,2,40,20,
claude-opus-5,p081,arts_culture,3,25,18,
claude-opus-5,p081,arts_culture,4,30,30,
claude-opus-5,p081,arts_culture,5,33,22,
claude-opus-5,p081,arts_culture,6,28,28,
claude-opus-5,p082,arts_culture,0,18,18,
claude-opus-5,p082,arts_culture,1,45,42,
claude-opus-5,p082,arts_culture,2,40,38,
claude-opus-5,p082,arts_culture,3,25,25,
claude-opus-5,p082,arts_culture,4,30,30,
claude-opus-5,p082,arts_culture,5,28,22,
claude-opus-5,p082,arts_culture,6,42,35,
claude-opus-5,p082,arts_culture,7,22,20,
claude-opus-5,p084,arts_culture,0,12,12,
claude-opus-5,p084,arts_culture,1,35,28,
claude-opus-5,p084,arts_culture,2,55,55,
claude-opus-5,p084,arts_culture,3,48,45,
claude-opus-5,p084,arts_culture,4,30,30,
claude-opus-5,p084,arts_culture,5,42,40,
claude-opus-5,p084,arts_culture,6,58,58,
claude-opus-5,p086,arts_culture,0,12,8,
claude-opus-5,p086,arts_culture,1,30,20,
claude-opus-5,p086,arts_culture,2,55,45,
claude-opus-5,p086,arts_culture,3,40,30,
claude-opus-5,p086,arts_culture,4,48,40,
claude-opus-5,p086,arts_culture,5,25,15,
claude-opus-5,p086,arts_culture,6,20,10,
claude-opus-5,p086,arts_culture,7,35,25,
claude-opus-5,p092,misconceptions,0,12,12,
claude-opus-5,p092,misconceptions,1,30,28,
claude-opus-5,p092,misconceptions,2,35,35,
claude-opus-5,p092,misconceptions,3,18,18,
claude-opus-5,p092,misconceptions,4,25,10,
claude-opus-5,p092,misconceptions,5,40,40,
claude-opus-5,p092,misconceptions,6,20,22,
