pair_id,sentence_A,sentence_B,more_AI_A_B_or_tie
8d67651e1f23ae37,"Его знаменитое «Поехали!» до сих пор знают даже те, кто далёк от космонавтики.","Вирусы устроены иначе: они проникают внутрь наших клеток и используют их как “фабрики” для своего размножения, поэтому обычные антибиотики на них не действуют.",
436930f9f21db774,"Если нужно действительно стереть что-то важное, лучше использовать специальные инструменты для безопасного удаления или шифрование диска.","12 апреля 1961 года Юрий Гагарин стал первым человеком, который полетел в космос.",
98a0620abe2b56b5,Он стартовал на корабле «Восток-1» и за 108 минут облетел Землю.,"Луна всегда повернута к Земле одной и той же стороной, потому что её вращение синхронизировано с движением вокруг нашей планеты.",
758697199b7a018d,"Вот почему зимой лучше присесть на дерево, а не на металл — тело скажет спасибо.","При большинстве ОРВИ помогают отдых, питьё, проветривание, увлажнение воздуха и средства, которые облегчают симптомы.",
56ba0aabf4ffc46b,"Так что сам по себе хруст пальцами, похоже, больше раздражает окружающих, чем вредит суставам.","Поэтому корзина, «удалить навсегда» и даже форматирование не всегда означают мгновенное уничтожение данных.",
6cae3a5a33299f0f,"Этот легендарный полет доказал, что для нас нет ничего невозможного, и буквально открыл людям дорогу к звездам.","Лучше использовать полное форматирование диска, чтобы ваши секреты точно не достались чужим людям!",
f78fad32934536da,"Признавайтесь в комментариях, кто из вас в детстве тоже мечтал стать космонавтом?","Корея же немыслима без маринованного мяса, ферментированных овощей и жгучей пасты кочуджан, из которых готовят знаменитый пулькоги или пикантную кимчи.",
f6440acbf5a29514,А что вам больше по душе — утонченная Япония или огненная Корея?,"Весь секрет кроется в таком физическом свойстве, как теплопроводность.",
b2fba66d6e0234ae,"Так что не отказывайте себе в удовольствии насладиться японской кухней, даже если сырая рыба вас отпугивает!","На самом деле, температура у них абсолютно одинаковая, просто наши ощущения нас обманывают.",
a6416a6687b63cbd,"Так что для долгих посиделок на свежем воздухе всегда выбирайте деревянные лавочки, чтобы не замерзнуть!","А вы когда-нибудь задумывались, как выглядят пейзажи на той, скрытой от наших глаз территории?",
